original,translation
"Markɨnʼčʼa qənpa na toːntɨ, qanɨktɨ omtɨlä tɛːmtɨtɨ nʼɛntɨ saralqolamtɨt. ","Маркынча пошел на это озеро, сев на берег, веревку плести начал."
İːjatɨ qənpa Markɨnʼčʼanɨk qanɨktɨ. ,Его сын пришел к Маркынче на берег.
"“Tam qəːlɨm aša üːtɨptäntɨtqa tɛːmtam saraltɛntam, konnä šintit näkɨlqɨnoːqa”,– tomnɨt Markɨnʼčʼa. ","“Вот за то, что вы рыбу не пускаете, веревку сплету, чтобы на берег вас вытянуть”, – сказал Маркынча."
Ütqɨj loːsɨn iːja qarrä qəllä əsɨntɨnɨk mulaltɨŋɨt qaj meːtɨntɨt Markɨnʼčʼa. ,"Сын водяного в воду пошел и отцу рассказал, что делает Маркынча."
"Ütqɨj loːsɨ nʼenʼnʼɨmɔːnnɨ, nık kətɨŋɨt iːjantɨnɨk:“ Qəllä kətät, mol kukčʼak ɨkɨ orɨnʼnʼɨja, ɨːrɨknaj qəːlɨm aša üːtɛntam”. ","Водяной рассердился, так сказал своему сыну: “Пойди и скажи, мол, зря пусть не трудится, все равно рыбу не пущу”."
Ütqɨj loːsɨn iːja Markɨnʼčʼanɨk mulaltɨŋɨt əsɨntɨ tompɨj əːtɨm. ,Сын водяного Маркынче передал его отцом сказанные слова.
"Markɨnʼčʼa pilatɨ sɛlɨmpat, nık tomnɨt:“ Qənäšɨk apantɨnɨk, nık mulaltät, mol qəːlɨm aša üːtɨptäːqɨntɨ man teːšɨntɨn tam poqqanɨsä konnä šintɨn näkɨltɛntak, tam täːqanɨsä muntɨk šintɨn pačʼaltɛntak”. ","Маркынча свою пилу точит, так сказал: “Пойди к своему папе, так передай, мол, если он рыбу не пустит, я вас этой своей сетью на берег вас вытащу, этой своей саблей всех вас изрублю”."
Nɨːnɨ atɨltɨmpat pilamtɨ. ,И показал свою пилу.
Ütqɨj loːsɨn iːja tülä əsɨntɨnɨk mulaltɨŋɨt qajɨm meːqa olampa Markɨnʼčʼa. ,"Сын водяного придя к отцу рассказал, что сделать собрался Маркынча."
"Pilamtɨ ämtä pɛläktɨ čʼäːŋkɨ sɛlɨptätɨ, mannɨmpat: toː üssä tıːrɨčʼɨqolamtɨ. ","Свою пилу даже ее половину не наточил, видит – озеро водой наполняться стало."
Noː kıkätɨ qarrä na qäššɨmɔːttɨ. ,Из него ручей потек.
Seːpɨlak ɛːlä orsä na qäššajčʼɨ. ,Через некоторое время сильно течет.
Seːpɨlak ɛːlä kɨ olä qunnɨmpa. ,Через некоторое время река аж гудит.
Kıkäš šüːmɨt qəːlɨ olä kɨntɨ qəntɨlä pičʼɨltɨmmɨntɨ. ,По ручью рыба аж в реку проходя сверкает.
Qumɨn qəːlɨ qətällɨntɔːtɨn. ,Люди рыбу начинают ловить.
"“Ja, namɨššak soma qum Markɨnʼčʼa”,– tomnɔːtɨn qumɨn. ","“Ну, такой хороший человек Маркынча”, – сказали люди."
Qəːlɨsä qumɨn təttarnɔːtɨn. ,С рыбой люди разбогатели.
Markɨnʼčʼa aj nʼɛnnä qənnɨ. ,Маркынча опять дальше пошел.
Nʼɛnnän nılʼčʼɨj koptantɨ tulɨšpa– mačʼɨ təpɨn məttɨm taqɨtɨmpat. ,Дальше до такого место дошел – яр ему дорогу перекрыл.
İnnät mačʼɨt pɔːroːqɨn qum ɔːmnɨntɨ. ,Наверху на вершине яра человек сидит.
"“Qaj qumantɨ, ıllä panʼčʼɨräš, näqqɨllɔːmıj”,– Markɨnʼčʼa na qumɨm nık laŋkɨptɨŋɨt. ","“Что ты за человек, вниз спустись, давай закурим”, – Маркынча этого человека так окликнул."
Qumɨn ıllä panɨčʼčʼäːqɨn näkɨlpɔːqi. ,"Когда человек спустился вниз, они закурили."
"“Qaj qumantɨ aj qaj meːtɨntal nɨmtɨ ınnät”,– soqɨnʼčʼa Markɨnʼčʼa. ",“Что ты за человек и что ты делаешь там вверху?” –спрашивает Маркынча.
"“Man,– tomnɨt na qum,– ɔːmtɨjqo tam mačʼɨt čʼɔːtɨ, aj man təpɨm meːsam”. ","“Я, – сказал этот человек – царь этому яру, и я его сделал”."
Utɨmtɨ mačʼɨn ɔːmtɨjqo šittɨ qättɨŋɨt– mačʼɨm mitɨ šeːsä [nʼüːqɨlnɨt ]. ,Руки царь яра в стороны ударил – яр как языком слизнул.
"Nʼɛntɨ utɨmtɨ qättɨŋɨt, mačʼɨ aj ɛssɛja. ",Вместе руки ударил – яр опять появился.
"“Ja, ɔːnɨj tan meːmpal”,– tomnɨt Markɨnʼčʼa. ","“Ну, вправду ты его сделал”, – сказал Маркынча."
"“Massä qəllɔːmıj, mačʼɨn ɔːmtɨjqo”,– tomnɨt Markɨnʼčʼa. ","“Со мной пойдем, царь яра?” – сказал Маркынча."
"“A kutɨ mərqɨmɨnqa ɛːnnɨntɨ”,– tomnɨt mačʼɨn ɔːmtɨjqo. ",“А кто старшим будет?” – сказал царь яра.
"Markɨnʼčʼa uːkɨn, a mačʼɨn loːsɨ čʼiːpɨn qälɨmpa. ","Маркынча впереди, а царь яра сзади идет."
Nʼɛnnän tulɨšpɔːqı nılʼčʼɨj tɛttantɨ– čʼaŋaj säqqɨ. ,Дальше дошли до такой земли – сплошная тайга.
Innät ukkɨr poːt pɔːrɨqɨn qum ɔːmnɨntɨ. ,Вверху на вершине одного дерева человек сидит.
Na qumɨm ıllä qərɨmpɔːqı Markɨnʼčʼaj mačʼɨn loːsɨn noptıj. ,Этого человека вниз позвали Маркынча с духом яра.
"“Qaj qumantɨ”,– soqɨnʼčʼɔːqı Markɨnʼčʼaj mačʼɨn loːsɨn noptıj. ",“Что ты за человек?” – спрашивают Маркынча с духом яра.
"“Man tam säqqɨm meːsam, man säqqɨt čʼɔːtɨ ɔːmtɨjqo”,– tomnɨt na qum. ","“Я эту тайгу сделал, я для тайги царь”, – сказал этот человек."
"“Qaj tan meːmpal, toː ürɨptät, nɨːnɨ aj meːtɨ”,– tomnɨt Markɨnʼčʼa. ","“Если ты ее сделал, то заставь ее исчезнуть и опять сделай”, – сказал Маркынча."
"Na qum utɨm šittɨ qättɨmpat, säqqɨtɨ nɨː ürıːmpa, nʼɛntɨ qättɨmpat utɨmtɨ, säqqɨ kuttar ɛppa nılʼčʼɨk ɛːŋa. ","Этот человек руки в стороны ударил – тайга исчезла, вместе ударил руки, тайга как была, так есть."
"“Ja, ɔːnɨj tan säqqɨn ɔːmtɨjqo, qəllɔːmıj meːsä”,– tomnɨt Markɨnʼčʼa. ","“Ну, действительно ты царь тайги, пойдем с нами?” – сказал Маркынча."
Na toːn ɨsakɨːqɨn təttɨllaka. ,В центре этого озера островок.
Na təttɨllakaːqɨn qum ɔːmnɨntɨ. ,На этом островке человек сидит.
Qumɨm Markɨnʼčʼa konnä qərɨmpat. ,Человека Маркынча этого человека на берег позвал.
Qum kuššaqɨn konnä tanta Markɨnʼčʼa soːppɨnʼnʼɨt:“ Tat qaj meːtɨntal?” ,"Когда человек на берег вышел, Маркынча спрашивает: “Ты что делаешь?”"
"“Man tam toːm meːsam, man toːn ɔːmtɨjqo”,– tomnɨt na toːn ɔːmtɨjqo. ","“Я это озеро сделал, я царь озера”, – сказал этот царь озера."
"Toːn loːsɨ utɨm šittɨ qättɨmpat, toː kessak ıllä təkkɛːmpa, nɨːnɨ utɨm nʼɛntɨ qättɨmpat, toː okoːt kuttar ɛppa nık üssa ɛːŋa. ","Дух озера руки в стороны ударил, озеро совсем высохло, потом руки вместе ударил, озеро прежде как было, так с водой и есть."
"“A kutɨ mərqɨmɨtqa ɛːnta”,– soqɨnʼčʼa toːn ɔːmtɨjqo. ",“А кто старшим будет?” – спрашивает царь озера.
Qənpɔːtɨn nʼɛnnä. ,Пошли дальше.
"Markɨnʼčʼa uːkɨn, nɨːnɨ mačʼɨn loːsɨ, nɨːnɨ säqqɨl loːsɨ, poːs čʼiːpɨn toːn loːsɨ. ","Маркынча впереди, потом дух яра, потом дух тайги, в самом конце дух озера."
Markɨnʼčʼa čʼəm tomnɨt mol aj kɨpəːqa qəllɨmɨt. ,"А Маркынча сказал, мол, еще маленько давайте пройдем."
Nɨːnɨ ukkɨr čʼontoːqɨn mɔːttɨ na tulɨšpɨntɔːtɨn. ,Потом однажды до дома дошли.
"Mačʼɨn ɔːmtɨjqo poːt pačʼalpat, šoːqɨrtɨ čʼɔːtätɔːllä nʼäjtɨ qarrä omtɨltɨmpat. ","Царь яра дров нарубил, печь затопил и хлеб в печь поставил."
"Nʼäjtɨ ompä pilä tuːra, nɨːnɨ konnä iːŋɨt. ","Как только хлеб испекся [букв. созревая завершился], тогда из печи его взял."
"Na nʼäjtɨ šittɨ maːtɨŋɨt tɔːntɨpoːqɨntɨ, sajɨt kuːrɨsä nık na qontɨt: okoškaːqɨntɨ qos qaj na lanʼkɨmɔːttɨ. ","Этот хлеб разрезал на столе, уголком глаза так увидел: в окне что-то мелькнуло."
Seːpɨlak ɛːlä kalʼtopkaːqɨn qos qaj säːjqɨmmɨntɨ šeːppɨk. ,Через некоторое время в сенях что-то шуршит слегка.
"Mɔːtam nılʼčʼɨj imaqota na nüktɨlä šeːrɨ, olɨtɨ mitɨ sɨrɨ. ","Дверь приоткрыв, такая старуха входит – ее голова как снег."
"Na kotajatɨ [šittɨ näqɨrıːntɨlorɨnʼnʼɨ], kuttar nʼäjɨm säqaltɛntɨŋɨt. ","Тот ее мешочек [растягивается], когда она хлеб запихивает."
"İmaqota muntɨk säqalnɨt nʼäjɨm, ponä əːtɨkɔːlɨk kojjɨmɔːnnɨ. ","Старуха все запихала [в мешочек], хлеб, к выходу молча повернулась."
Mačʼɨn loːsɨ (ɔːmtɨjqo) mɔːtan ɔːqqɨn čʼəm orqɨlnɨt imaqotam. ,"Дух яра (царь) у двери схватил, было, старуху."
İmaqota sukɨltä piːqɨllä mačʼɨl loːsɨm orqɨlnɨt šuk tɔːpoːmɨn nɨːnɨ nɔːtɨ mɔːtɨn ɨːlantɨ čʼoqqačʼčʼɛːŋɨt. ,"А старуха, назад обернувшись, духа яра схватила за основание затылка и потом в пол его тычет."
İmaqota nɨːnɨ qənnɨ. ,Старуха потом ушла.
Toːnnamɨ topɨmtɨ kekkɨsä üːqɨlnɨt koptantɨ. ,Тот ноги еле дотащил до кровати.
"Nɔːtɨ tɛnɨrpa mačʼɨl loːsɨ (ɔːmtɨjqo):“ Mat qaj kətɛntam ɔːmɨnʼeːiːqäŋ, kətɛntam mol qaj imaqota man nɔːnɨ nʼäjɨm piːtɨsɨt? ","Потом думает дух яра (царь): “Я что скажу моим товарищам, скажу, мол, что старуха у меня хлеб отобрала?"
"Aša, nılʼčʼɨj ürɨ aša ɛːŋa”. ","Нет, так не дело”."
"Qumiːtɨ čʼəm tüŋɔːtɨn, ämtä qajɨm čʼäːŋkɨ meːptätɨ mačʼɨn loːsɨ. ","Его товарищи пришли, а ничего не сделал дух яра."
"“Tat qäːqa nʼäjɨm čʼäːŋkɨ meːptäl”,– soːppɨnʼnɔːtɨn ɔːmɨnʼeːiːtɨ. ",“Ты почему хлеба не испек?” –спрашивают его товарищи.
"“Ja, man qüːtälɨsak, aj nuːnɨčʼɨsak täːlɨ čʼeːlɨ, natqa čʼäːŋkɨ meːptäm nʼäjɨm”,– tomnɨt mačʼɨl loːsɨ. ","“Ну, я приболел, и устал вчера, поэтому не испек хлеб”, – сказал царь гор."
"Qaj meːtɨntɔːtɨn, olqa qonnɨmpɔːtɨn qumiːtɨ. ","Что поделают, просто [без хлеба] легли спать его товарищи."
Nʼäjɨm meːqa qəːčʼɨmpɔːtɨn säqqɨm loːsɨm (säqqɨn ɔːmtɨjqo). ,Хлеб печь оставили духа тайги (царь тайги).
Aj nılʼčʼɨj ürɨ. ,Опять такая история.
"Qumiːtɨ tülä čʼəm soqɨnʼčʼɔːtɨn aj mol qäːqa nʼäjɨm čʼäːŋkɨ meːntal, toːnnamɨ (säqqɨn ɔːmtɨjqo) mol nuːnɨčʼɨsak da olap čʼüsɨntɨ. ","Его товарищи пришли и спрашивают опять, мол, почему хлеба не испек, а тот (царь тайги), мол, устал да голова болит."
Qarɨn məšɨlä olqa amɨrpɔːtɨn. ,Утром вставши просто [без хлеба] поели.
Təpɨn nɔːnɨ aj na imaqota piːtɨmpat meːpɨj nʼäjtɨ. ,У него опять эта старуха отобрала испеченный хлеб.
Aj nılʼčʼɨj ürɨ ɛsɨmmɨntɨ kuttar mačʼɨn loːsɨsä aj säqqɨn loːsɨsä. ,"Опять такая история приключилась, как с духом яра и с духом тайги."
Tüm čʼɔːtälɔ̄llä nʼäjɨm qarrä omtɨltɨmpat nɨːnɨ nɔːtɨ ətɨŋɨt kuššan pinta nʼäjtɨ. ,"Огонь разжег и хлеб в печь поставил, и потом ждет, когда поспеет хлеб."
"Konnä iːlä šittɨ maːtɨŋɨt mol qaj pimpa qaj čʼäːŋkɨ, sajɨntɨ kuːroːqɨn okoškaːqɨntɨ qos qaj lanʼkɨmɔːttɨ. ","Из печи достал и разрезал, мол испекся ли или нет, в уголке его глаза в окне что-то мелькнуло."
"Ukoːn nık na üntɨčʼčʼɨt, kalʼtopkaːqɨntɨ qos qaj sajqɨmmɨntɨ, puːn seːpɨlak ɛːlä nılʼčʼɨj imaqota na šeːrɨ, olɨtɨ mitɨ sɨrɨ, utiːqɨntɨ kɨpəː kotaja orqɨlpɨntɨt. ","Вначале так услышал – в сенях у него что-то шуршит, потом через некоторое время такая старуха входит – ее голова как снег, в руках махонький мешочек держит."
Əːtɨkɔːlɨk nʼäjɨm na kotajaːqɨntɨ na säqɨtqolamtɨt. ,Молча хлеб в этот свой мешочек начинает запихивать.
"Markɨnʼčʼa olä sajɨtɨ mərqɨ ɛsa, qaj imaqota əːtɨkɔːlɨk nʼäjɨm iːntɨlorɨnʼnʼɨt. ","У Маркынчи аж глаза большие стали, что старуха молча хлеб забирает."
Markɨnʼčʼa paktɨlä imaqotam nɨː mɔːtan ɔːqqɨn orqɨlnɨt soːjmɨntɨ. ,"Маркынча вскочив, старуху в дверях схватил за горло."
İmaqota nɨːnɨ qättɨqolamtɨ. ,Старуха тут драться начала.
Markɨnʼčʼa imaqotam mɔːtɨn ɨːlɨt čʼiːtɨ qɔːttɨsä čʼoqqačʼentɨŋɨt. ,Маркынча старуху об пол лбом тыкает.
"İmaqota laŋkälɨntɨ:“ İːjəː, nɔːt toː šim üːtäšɨk, nʼäjlɨ moqɨnä mintam, aj qaj kɨkɨntal namɨ minnɨntak, šintɨ imattɛntak”. ","Старуха закричала: “Сынок, теперь меня отпусти, я твой хлеб обратно отдам, и что хочешь, то дам, тебя женю”."
"“Man šintɨ üːtɛntak, kekkɨsä mat kuːnɨ šintɨ qontak”,– (tomnɨt) soqɨnʼčʼa Markɨnʼčʼa. ","“Я тебя отпущу, только где я тебя найду?” – (сказал) спрашивает Маркынча."
Markɨnʼčʼa tɔːptɨj čʼeːlɨ nɔːt na qənmɨntɨ imaqotam peːlä. ,Маркынча на следующий день и пошел старуху искать.
"Na müš šüːmɨn, tɛːmtɨm sɔːrɨlä ıllä na patpɨntɨ. ","В эту дыру, веревку привязав, спустился."
"“Kɨssa, kunɛː tına tomtɨjmɨl”,– soqɨnʼčʼa Markɨnʼčʼa. ","“Ну, где то, что ты обещала?” – спрашивает Маркынча."
"Markɨnʼčʼa tomnɨt, mol man uːkɨn sɨːqɨltɛntak. ","Маркынча сказал, мол, я вначале вылезу."
"“Ukoːn man uːkɨn sɨːqɨltɛntak”,– tomnɨt imaqota. ","“Вначале я первой вылезу”, – сказала старуха."
"“Tan aša orlɨ čʼäːŋkɨ, kuttar tan mašɨm üːqɨltɛnnantɨ”,– tomnɨt Markɨnʼčʼa. ","“У тебя силы нет, как ты меня вытянешь?” – сказал Маркынча."
"“Man imaqotaj loːsaŋak, man uːkɨn, man šintɨ üːqɨltɛntak, ɨkɨ ɛnäš”,– tomnɨt imaqota. ","“Я дух в старушечьем облике, я вначале, я тебя вытяну, не бойся”, – сказала старуха."
Markɨnʼčʼa ıllä alʼčʼa. ,Маркынча вниз упал.
İmaqota nɨːnɨ qənnɨ. ,А старуха ушла.
Markɨnʼčʼa nɔːtɨ tɛnɨrpa:“ Man tɨmtɨ aj na quntak ınnä sɨːqɨlqa tačʼallä”. ,"Маркынча теперь думает: “Я тут и умру, вверх вылезти не имея возможности”. ‎"
Tɨmtɨ tɛnamtɨŋɨt əsɨmtɨ (loːsɨm). ,И тут он вспомнил своего отца (медведя).
"Kekkɨsa əsɨmtɨ tɛnamtɨŋɨt, kuššak kuntɨ loːsɨ qöːqɨntɨ nɨŋɨntɨ. ","Только своего отца вспомнил, как медведь рядом с ним стоит."
"“İːja, qajal kuttar ɛsɨntɨ, qäːqa šim tɛnamtantɨ”,– tomnɨt loːsɨj əsɨtɨ. ","“Сынок, что с тобой, почему меня вспомнил?” – сказал медведь-отец."
"Tɨmtɨ mulaltɨmpat kuttar imaqotam orqɨlpat, qaj imaqota Markɨnʼčʼanɨk meːqa olammɨmpa. ","Тут он рассказал, как он старуху поймал, что старуха Маркынче сделать обещала."
Nɨːnɨ kuttar təpɨm imaqota qətqa olampa. ,И как его старуха убить хотела.
“Tıː ınnä man šintɨ sɨːtɛntak. ,“Сейчас вверх я тебя подниму.
"Nʼɛnnä qənnantɨ, ɨlamäntɨ seːlʼčʼi nätäk na paktɛntɔːtɨn, čʼiːpɨj nätäm sä orqɨlläl, namɨ aj tan imantoːqa”,– tomnɨt loːsɨ. ","Вперед пойдешь, перед тобой семь девушек пробегут, последнюю девушку поймай, ее ты и возьмешь в жены”, – сказал медведь."
"Ɔːnɨj ınnä čʼəm sɨːqɨlnɔːqi, Markɨnʼčʼa nʼɛnnä kuraltäːqɨntɨ seːlʼčʼɨ nätäk ɨloːmɨntɨ paktɨmmɨntɔːtɨn. ","Действительно, вверх вылезли, а перед Маркынчей, когда он вперед пошел, семь девушек пробежали."
Na poːsɨ čʼiːpoːqɨj mɨm orqɨlpat nɨntɨk aj moqɨnä qənnɨmpat. ,И самую последнюю поймал прямо и домой повел.
"Qumiːmtɨ üːtɨmpat, kutɨ kučʼčʼä kɨka näčʼčʼä qənnɨja. ","Своих товарищей отправил, кто куда хочет, туда пусть идет."
"“Soma qumantɨ, Markɨnʼčʼa, nɔːtɨ tan imap qoːsal. ","“Хороший ты человек, Маркынча, теперь ты жену нашел."
"Tan moqɨnä qənnantɨ, meː nʼɛnnä qəntɔːmɨt onɨt kɨːmɨt peːqɨnɨtqa”,– tomnɔːtɨn ɔːmɨnʼeːiːtɨ (mačʼɨn loːsɨ, säqqɨn loːsɨ i toːn loːsɨ). ","Ты обратно иди, мы дальше пойдем свое счастье искать”, – сказали его товарищи (дух яра, дух тайги и дух озера)."
Nɨːnɨ nɔːtɨ na šittɨ qənmɨntɔːtɨn. ,И потом пошли в разные стороны.
"Markɨnʼčʼa tümpa kun qumɨtɨt čʼɔːtɨ mɔːtɨm meːqɨlsɨt, kun qumɨtɨt čʼɔːtɨ qəːlɨm qarrä üːtɨsɨt. ","Маркынча пришел [туда], где для людей дома сделал, где для людей рыбу пустил."
Markɨnʼčʼa na qəːttoːqɨn seːlʼčʼɨ toːt poːt kuntɨ ɔːmtɨjqoːttɨmpa. ,Маркынча в этом городе семьсот лет царствовал.
Tıː qɔːtɨ ɨːrɨk ɔːmtɨjqoːtta. ,Сейчас может еще царствует.
Šöjqumɨj əːtɨsä čʼaptä muntɨk. ,На селькупском языке сказка вся.
İlʼimpa İčʼakäčʼika imlʼantɨsä. ,Жил Ичакычика с бабушкой.
Qolʼsaq iralʼ qəːttɨ– asa kuntaːqɨn ɛːsa. ,Город старика Кольсако недалеко был.
Okkɨr čʼontoːqɨt Qolʼsaqo iralʼ sɨːrɨtɨ üra (ürɨsa) telʼde ürɨkka. ,"Однажды корова старика Кольсако потерялась, постоянно теряется."
Täp tɛnɨmɨtɨ što İčʼakäčʼikat tälʼɨsɨt. ,"Он знает, что Ичакычика украл."
Üːtɔːtɨ täpɨnɨk kazatɨp sitatɨp männɨmpɨqo qoip meːtɨt İčʼakäčʼika. ,"Послал к нему двух казаков, посмотреть, что делает Ичакычика."
Merɨsɨtɨ marqɨ paŋɨp mɔːta pɔːrɔːqot. ,Он держал большой нож на потолке.
İmlʼamtɨ tamtɨlsɨtɨ kämɨlʼ sɨːrɨt ketɨsa. ,Бабушку свою обернул кровавыми кишками коровы.
Marqa qup kätsɨtɨ İčʼakäčʼikanɨ. ,Начальник сказал Ичакычику:
“Tasɨntɨ omtɨlʼtɨqo nɔːtna türʼmantɨ. ,“Тебя надо посадить в тюрьму.
Tat sɨːrɨtɨp qättal amnal”. ,Ты коров убиваешь и ешь”.
Täp nʼenʼnʼamɔːssa imlʼantɨkinı kätsɨtɨ. ,Он рассердился и сказал бабушке:
“Massɨp omtalʼtɨntɔːtɨt tʼürmantɨ. ,“Меня посадят в тюрьму.
Čʼajnik mušerät känpɨlʼa”. ,Чайник кипяти скорей”.
Kazat nɨŋnɔːtɨt mɔːtan ɔːqqɨt. ,Казаки стоят в дверном проеме.
"Nʼenʼnʼimɔːssa İčʼäkäčʼika, paŋɨmtɨ ılla iːsɨtɨ, imlʼamtɨ mattɨrsɨtɨ, imlʼatɨ qulʼčʼisa. ","Рассердился Ичакычика, ножик сверху взял, бабушку разрезал, бабушка умерла."
Nɨnɨ İčʼäkäčʼika kätsɨtɨ kazatkinı:“ İmlʼam melʼte nılʼčʼik orɨnʼnʼa”. ,Потом Ичакычика сказал казакам: “Моя бабушка всегда так себя ведет”.
Paŋɨtɨ topɔːqɨntɨ loːqɨrɨsɨtɨ. ,Ножик в ее ногу воткнул.
"“İmlʼa ınnä paktäš, paŋɨp ilʼaptɛnta”. ","“Бабушка, вставай, мой нож оживит [тебя]”."
"Nɨnɨ imlʼatɨ nɨlleisa, känpɨlä orqɨlsɨtɨ čʼajniktɨ musɨrɨqo. ","Потом бабушка вскочила, скорее схватила чайник кипятить."
Kansap naqqɨlʼčʼat kuntɨ čʼajnik musejsa. ,За время [чтобы] трубку выкурить чайник вскипел.
Täpɨt nılʼčʼik kätɨsɔːtɨt:“ Me tat paŋɨp täːmɛntɔːmɨt. ,Они так сказали: “Мы твой нож купим.
No kätɨmpɔːtɨt. ,Вот сказали.
Načʼalʼnik kuralʼtɨstɨ tämɨqo paŋɨp. ,Начальник послал [их] купить нож.
Sintelɨl čʼeːlʼ täːmɔːtɨt. ,На другой день купили.
"Qolʼsaq ira kättɨsɨtɨ:“ Paŋɨp makke miŋelɨt, mat sʼaqɨlʼtɛntap. ","Старик Кольсако сказал: “Вы нож мне дайте, я продержу его ночь."
Ma imam i rapotnikit lʼentʼajtɔːtɨt. ,Моя жена и работники лентяйничают.
Čʼeːlʼit i piːt qontɔːtɨt”. ,Днями и ночами спят”.
İčʼakäčʼika kätɨmpatɨ (katɨsɨt):“ Paŋɨp čʼistaŋ märɨŋɨlʼɨt. ,Ичакычика говорил: “Нож в чистоте содержите.
Qolʼsaq ira qontɨsa qarɨt čʼeŋ omtɨsa (mäsɨsa). ,"Старик Кольсако поспал, утром рано поднялся."
"“İma omtäšik, i rapotnikit omtäŋɨlʼɨt!” ","“Жена, поднимайся, и работники, поднимайтесь!”"
Täpɨt čʼek assa omnäntɔːtɨt. ,Они быстро не поднимались.
Nʼenʼnʼimɔːssa. ,Он рассердился.
Čʼap kättɨqɨtɨ. ,Тоже говорил [волшебное слово].
Melʼte qulʼčʼɔːtɨt. ,Навсегда умерли.
İra nʼenʼnʼmɔːssa kazatɨp qärɨsɨt. ,"Cтарик рассердился, казаков позвал."
“Kun iːsaqɨt paŋɨp?” ,“Где вы брали ножик?”
“Täp (İčʼäk) mekɨnı paŋɨp misɨtɨ. ,“Он (/Ичак) нам нож дал.
Täp İčʼäkäːčʼika ɔːläksa”. ,"Он, Ичакычика, обманул”."
“Qälʼlʼa orqɨlʼqo sudʼinqo. ,“Поймать и судить.
"İmaiːmɨt (imam, iːmat) muntɨk qusɔːtɨt paŋɨn nɔːn”. ","Наши женщины (/моя жена и женщины), все умерли от ножа”."
“Tat onnäka asa tɔːtɨk mattɨrsa. ,"“Ты, однако, неправильно резал. [говорят его солдаты]"
"Qolʼsaq ira aj kätɨsɨtɨ:“ Lanno, saŋarŋɨlɨt paŋɨp!” ","Тогда старик Кольсако сказал: “Ладно, попробуйте ножик”."
Kazat šität nılʼčʼik mattälsɨtɨ onti imaiːt. ,Казаки вдвоем так же резали своих жен.
İra nʼenʼnʼamɔːssa. ,Старик рассердился.
“İčʼakäčʼikap orqɨlʼqo nɔːtna”. ,“Ичакычику схватить надо”.
İčʼakäčʼika na vremʼaqɨt mɔːtqɨntɨ. ,Ичакычика в это время у себя дома сидит.
İčʼakäčʼikap orqɨlʼsɔːtɨt. ,Ичакычику схватили.
“Seːp moːlmɨttɨsantɨ. ,“Достаточно ты обманывал.
"Me muntɨk iːmaiːmɨt i rapotnikit mattälsimɨt, täpɨt qusɔːtɨt kämɨt čʼɔːrɨk”. ","Мы всех наших жен и работников порезали, они умерли в крови”."
Kolʼsaq ira kuraltistɨ ıllä qottɨrɨqo üttɨ. ,Старик Кольсако приказал пойти утопить его в воде.
Kätɨsɨtɨ sɨːrɨt qopoːntɨ šünʼnʼontɨ šütqo ilʼelä. ,Сказал внутрь коровьей шкуры зашить живьем.
"Kazat täpɨp qäntɨsɔːtɨt čʼuntɨlʼ qaqlɨsä üt toːptɨ, moret qanɨktɨ. ","Казаки его увезли на телеге [на санке с конем] к краю воды, на берег моря."
Täp kota čʼuntoːqɨt ilɨla ippa. ,Он в мешке живой лежит.
"Kätɨsɨtɨ:“ Masɨp qoptɨrantɨlʼɨt marqɨ püsa, marqɨ pü peːqɨlʼnɨkɨt”. ","Сказал: “Меня утопите большим камнем, большой камень найдите”."
Täpɨt qässɔːtɨt peːqo marqɨ püp. ,Они пошли искать большой камень.
Utɨrɨsɔːtɨt. ,Остановились.
"Tämqup tɔːqsä (/tawarsä, lɨptɨksä) qänta moqɨnä. ","Купец с товаром (/с товаром, с материалом) едет домой."
Qoi tɨmtɨ ippa? ,“Что тут лежит?”
Tämqup:“ Qoitqo ippant?” ,Купец: “Почему лежишь?”
Täp ınnä putalʼmɔːssa (tantɨsa). ,[Ичакычика] выскочил (/вышел).
Täpɨn mɨqɨt sıːt qopɨlʼ mɨ ɛppa muŋkɨntɨ. ,У него соболиные шкуры были за пазухой.
"Ormɨ čʼäːŋkɨsa, tɔːq (lɨptɨk) kočʼčʼɨ ütqɨt ınnä”. ","Силы у меня не было, товаров (/материалов) много в воде вверх(?)”."
Tämqum ɔːntalʼsa:“ Ma aj pattɨrläk ütt”. ,Купец обрадовался: “Я тоже хочу нырять в воду”.
Tämqup ippa üttotqɨp kotaqɨt. ,Купец лежит у воды в мешке.
"İčʼakäčʼika qənnajsa, čʼuntɨlʼ qaqlɨntɨsa i tɔːqsa. ","Ичакычика уехал, на лошадиной телеге и с товаром."
Täntɔːtɨt ontɨ nʼantɨ:“ Seːp İčʼakäčʼika olɨŋɨrsal. ,"Говорят друг другу: “Достаточно, Ичакычика, ты обманывал."
Ütqɨt qunnant”. ,В воде умрешь”.
“Asa mat İčʼikäčʼika. ,“Я не Ичакычика.
İčʼäkäčʼika qəssa. ,Ичакычика ушел.
Mat tämqumoŋok. ,Я купец.
Kasat tomnat:“ Tat İčʼäkäčʼikantɨ seːp moːlmɨtɨsantɨ”. ,"Казаки говорят: “Ты, Ичакычика, достаточно обманывал”."
"Tüntɨsak čʼuntɨsa, qaqlɨsa”. ","Я ехал на лошадях, на телеге”."
Üttɨ tulʼtɨlʼa čʼattɨsɔːtɨt qoptɨlʼsɔːtɨt püːsa. ,"В воду занеся бросили, утопили с камнем."
