original,translation
"Тадук болонӣвэ тагӣктам, орорво го̄тадяна.","Потом всю осень пас (оленей), изгородь делал."
Го̄тадяса̄в.,Изгородь делал.
Мартэлдӯ тугэдяндукпэр hэлэ тэр Лэӈколдук.,"В марте с места зимовки вот, с Лэнгко."
"Тадук тастявун нямади эӈнэко̄нмэ, hуюко̄риктэлвэ.","Оттуда гнали сто телят, одних самцов."
Э то̄ли бисён эдӯ стадо.,Тогда здесь было стадо.
"Анан тарэ бэел гирку... бэел гиркувунатын, эдӯ иргитчэӈкӣтын.","Специально здесь выращивали, чтобы люди ездили."
"Тэр эӈнэко̄рвэ нуӈардула̄тын тастяса̄вун, оhотникилдӯ буттотын, булта̄мнилдӯ.","Тех телят мы к ним гнали, чтобы они раздали охотникам, охотникам."
"То̄лӣ би дюгаса̄в эдӯ, Екондэдӯ, гулэлдӯ, отпускаттенэ.","Лето я провел здесь, в Эконде, в деревне, в отпуске."
"Уча̄мила дэгиктэсёв, эр акнилви экнилви исетно̄де.","В Учами летал, чтобы старших братьев, старших сестер увидеть."
Эhико̄н Турудӯ бидерэн.,Сейчас она в Туре.
Ирэмо̄hисён-до hутэлдэло̄ӣ.,Поехала в гости к детям.
Та̄дӯ-да бидерэн больницеллдула̄ hукуло̄hисё.,"Там находится, в больницу легла."
Кешав балдырэн.,Кеша мой родился.
"Тадук гэ̄ф омолгӣф, Сашав тугэ балдисан февралэндӯ.","Потом второй сын, Саша, зимой родился, в феврале."
"Тадук hуидыгиф аhатканӈиф дюга балдиран, Валя гэрбӣси.","Потом младшенькая девочка летом родилась, Валя по имени."
Вот эдӯ-тэ индемэ дюрдяр аӈанӣва Екэӈдэдӯ.,Вот здесь живу двадцать лет в Эконде.
То̄лӣ эдӯ бисён совhоз.,Тогда здесь был совхоз.
Нонон аӈӣнкӣф неӈненӣт мо̄лэ оёнмуно̄ӈкӣф.,"Перед этим это делал, весной дрова сплавлял, несколько раз ходил."
Совhозтӯ hавалчав дыгин аӈанӣвэ.,Всовхозе работал четыре года.
"Тадук директориф то̄лӣ бисён Алексей Дмитриевич Елдогир, гиркӣв минӈӣ.","Потом, директором тогда был Алексей Дмитриевич Елдыгир, мой друг."
"Тадук hурусёлон, тарэ умукон эмэсён.","Потом, когда он ушел (уволился), тот один пришел."
"Ну горово̄ эсён hавалда тар казах, Казаhстанилдук эмэсё.","Ну, долго не работал тот казах, из Казахстана приехавший."
Эсо̄в горово hавалда.,не долго работал.
"То̄лӣ hутэлви hуюкукор, экунди-да эдеӈо̄ бисён улӣврэ.","Тогда дети мои маленькие, не было возможности их хоть чем-нибудь накормить (=им хоть чем, чем-нибудь накормиться)."
"hэлэ эрэ президент hуӈту о̄дакин-тэ, Путин о̄салан, hэлэ инмун аятмэр о̄са̄н.","Вот этот, когда президент другой стал, Путин стал, жизнь наша лучше стала."
hуливун о̄дан.,Все стало.
Дептылэвун-да о̄дан.,Еда стала.
Антыптыкин hавода о̄дан.,Разные вещи стали.
"Ама тар, как его....","Дедушка тот, как его..."
Ама̄ка̄ тар этот...,Дедушка этот...
Ну там ганалчи-тэ hо̄ биӈкин бэе.,Ну там стрелок-то он сильный был.
Кэтэмэмо урилэ̄н бисё тэ.,Много стойбищ было.
"Этырко̄н аӈитын, аӈитын.",Старик это...
Бэелэ асир.,Людей других нет.
"hуӈтул ганалчил эмэсёл-до̄, дэлкэндукпи микчанденэ.","Когда пришли другие стрелки, спрыгнул с лабаза."
"hутакандукин эрэ лукӣлин бикиттуктын, микчандерэкин, лукӣлин бурусо.","Когда он прыгал, его стрелы упали из его мешка, из места, где они были."
"Нуӈанман, микчандерэкин, hалганман капуллакар гарпасол ганалчил.","Когда он прыгал, его ногу сломали стрелки, выстрелив."
"Дюла̄тын иконэмил, гусол.","Когда пришли в их чум, они сказали:"
"«О̄, ёпун-кэмэ hо̄!»","«О, очень жидкий!»"
Аӈман тарэ уйчол.,Это самое [пенис] привязали.
Аhаткан одан.,Он стал девочкой.
Ганалчилтыкӣ гусо:,Стрелкам сказал [дедушка]:
"«Эр аhатканмэ эвунавэр гадяс, эва никодо̄н?»","«Для чего вы возьмете эту девочку, что вы собираетесь делать?»"
"Уитчэсол-да̄, тар ваденавра аhӣван hурувупкӣ начальник, hо̄ӈэтын ганалчил.","После того, как привязали, начальник стрелков увел жену того, которого приходили убить."
"hурунэ, дюдуктын тарэ, илкэ̄ндинэ̄л, hурусо.","Уходя, они пошли из чума, делая зарубки."
Тадук тарэ этырко̄н эмонмусё куӈаканнун.,Потом этот старик остался с ребенком.
Ēкур илкэ̄ндекисилтын?»,Чьи это зарубки?»
Эвкӣ hилбэрэ ама̄ка̄.,Не рассказывает дедушка.
"Дупконэм hаӈӯктадямӣ, куӈакан эпет эвӣливкӣ, ӣло̄-та̄ла̄ туксактэденэ.","Не сумев спросить, ребенок опять начинал играть, бегая туда-сюда."
Уже дяндук дяпкуси-вэл о̄рка нуӈан анӈанӣ-сэ.,"Уже стал он, наверное, где-то восемнадцати лет."
"Ама̄ка̄н лукӣлон о̄са бэетко̄ндӯ, элэ нӣко̄р, уставатын.","Дедушка сделал мальчику стрелы, все это самое [коряги, ветки], все."
"Туксактадявкӣ, эвӣдяна.","Бегает, играя."
"Тадук, ну, аямамат hэгдыhэсо куӈакан.",Потом очень хорошо вырос ребенок.
Бэетко̄нмэ тар ганасилча.,Стал стрелять в этого мальчика.
"Тариӈми ганасивкӣ-да̄, идӯ-до̄ эвкӣ на̄вканэ.","Стрелял в него, никуда не попадая."
"Бэръён, лукӣён о̄ран тадук.","Ему лук, стрелу сделал потом."
"Тадук элэ hэhэнилчо, гуннэ эрэ.","Потом вот стал рассказывать, говоря:"
Энинмэс hуруврэн.,Твою мать увел.
Илкэ̄ндулӣтын hурукэл».,Иди по их зарубкам».
"Дулиндӯтын дюкчал исчэндэ-до̄, исетто̄и тар hэгдымомовэтын дюва-до̄.","Ты дойдешь до середины чумов, чтобы увидеть этот огромный чум»."
ӈэнэдесо.,шел.
"Тэгэконэм, мо̄лдӯ тэгэтчэрэн.",Сел и сидит на дровах.
"гуннэ, hаӈӯктаса аhӣдукпи.",спрашивает у жены.
Тариӈин гусо:,Та сказала:
"«""Койно биhим"" — гундерэн».","«Говорит, что заблудился»."
"Улӣкэл-тэ, койнонун бирокин».","Покорми же, раз он заблудился»."
Тариӈин улӣсо.,Та покормила.
"Девконэм, куӈакан эвэр-кэ, тулискӣ юсо-до̄ эвӣно̄де.","Поев, ребенок это самое, вышел на улицу поиграть."
"Куӈакан тар моӈӣлди лукӣлди куӈакар hутэлвэтын hоёлдулӣтын гарпануса̄н,","Тот ребенок пошел стрелять своими стрелами детей в лоб,"
"Нёконо̄мчов, — гунденэ, — ганасилимчов».","Я бы тогда, — говорит, — это самое, пострелял бы»."
Эвӣлэн.,Стал играть.
Ганалчил hо̄ӈэтын гусё:,Начальник стрелков сказал:
Лукӣлви савуриhиса-да̄ лупоро̄са.,Стрелы взял и вышел на улицу.
"Тадӯвэр лукӣлви дяяналви савуриhинивкӣ туксамнӣнка̄кундук, нуӈарнунтын ганатма̄силча.","Потом стрелы, которые спрятал, схватил на бегу и начал с ними перестреливаться."
Тадук уставатын-тэ манаран.,Потом всех прикончил.
hо̄ӈэ-риктатын эмонмусо умуко̄н.,Остался только один их начальник.
Ганатма̄тчэвкӣл.,Долго стрелялись.
Тадук-тэ тар hо̄ӈматын тоже ва̄рэн.,Потом он этого их главного тоже убил.
"Энинми гаран-да̄, ама̄ка̄ткӣē hурурэн.",Мать взял и пошел к дедушке.
Горово̄ бидевкӣл.,Долго они жили.
"Тадук инденэ, бултавэ-до̄, эвкӣ hуларэ нӣвэ-до̄.","Потом, живя, он не оставлял никакой добычи после себя."
"Уставан манавкӣ, ва̄вкӣ.","Всех приканчивал, убивал."
Тадук ама̄ка̄дукпи hаӈӯкталча:,Потом стал спрашивать у дедушки:
Ēкун нуӈанман эӈэhӣн?»,Кто его сильнее?»
Монин-кэмулин дёротпи бидеӈно̄гин!»,Пусть живет сам по себе!»
Потом.,Потом...
"Бирая дяпкалӣн ӈэнэденэ, исесо этырко̄нмэ ама̄ка̄вэ.","Идя по берегу реки, увидел медведя."
"hалгардии туги эрденэ, олдолво дяваксидерэн.","Вот так разгребая воду лапами, ловит рыб."
"Исетча-да̄, гундерэн:","Увидев, говорит:"
"«Э̄, ēкунинда̄-кэм эсё ӈэливсипчу бирэ!»","«Э, никого же страшного нет!»"
"Лукӣлви, лукӣлви бира дяпкадӯн тугартын иливса-да̄.","Свои стрелы, свои стрелы вдоль них на берегу реки воткнул."
"Огдоко̄соко̄нви, карияса̄нми лукча-да̄, амардукин туксадянэ.","Он снял свою парку с шерстью, свою замшевую парку и бежит сзади."
"Тэрэhэ̄денэ, туксаhисе нуӈанман.","Побежав, колотит его."
"Тарин hэкэргэсо-до̄, амаргилдии илконэм, эрэ иконмон тугилвэр уставан каhиливкӣ.","Тот рассердился и, встав на задние лапы, вот так всю грудь ему порвал."
"Дюи исча-да̄, уркэвон.","Дошел до дома, до двери."
"Бурэн-да̄, тар-да̄ манаврэн, ило̄-кэ одян?","Так он умер, кончился, куда же он денется?"
"Чипка̄рвэ ва̄дечав, мо̄ты̄лвэ.","Соболей добывал, лосей."
"Хомо̄ты̄вэ бӣ расскажу, о̄н ва̄чав.","Медведя я расскажу, как убил."
И тэгэмила̄ бидечэв.,И до завтра был [тут].
"Хорошо, хорокӣл тадӯ дэгиллэ.","Хорошо, глухари тогда взлетали."
Бӣ ӈан туксасиним зимовьетки.,Я опять побежал к зимовью.
Тозовкавэ гами.,Взял тозовку.
"И ӈинакир миннӯн сурурэ, ёлки.",И собаки со мной пошли.
Бӣ дю̄рвэ тадӯ хорокӣлвэ ва̄ми.,Я двух там глухарей убил.
Бӣ гундем: э̄кӯнмэ гогодевкил туг?,Я думаю: на кого они там всё лают?
Потом ичэсиним амаскӣи:,Потом посмотрел назад:
"Чё-то э̄ва-вал ӈа̄лэлдиви минэ мэ̄ндула̄йи,",Что-то руками мне [машет] к себе.
Нуӈан эмэрэн.,Он подошел.
"Нуӈан гунэн: «Хомо̄ты̄вэ, ёлки!»",Он говорит: «На медведя!»
"Эмэдеӈнэрэв, эмэдеӈнэрэв.","Подходим, подходим,"
Бӣ ичэм хомо̄ты̄вэ.,я увидел медведя.
а амим гунэн:,а мой отец говорит:
"Бӯ дагамэтчэрэв, на сорок метров где-то подошли, дагамарэв.","Мы приближались, на сорок метров где-то подошли, приблизились."
"«Эсӣко̄н пэктырэ̄кэл, но пэктырэ̄кэл аямамат!»","«Прямо сейчас стреляй, но стреляй хорошо!»"
Ба̄х нуӈанман —,Бах в него —
"бурурэн, ёлки.",он упал.
Умӯкэ̄н раз бӣ...,Один раз я...
"Вспомнил, ёлки,,","Вспомнил, ёлки,"
"Ну сурурэп аминнӯнми, ниӈакирвэр гарав.","Ну, пошли с моим отцом, собак взяли."
Отец нуӈарватын тынэн.,Отец их освободил.
Потом бӣ до̄лды̄тчэлим:,"Потом я услышал,"
"Амим гаран тозовкавэ, пэктырэ̄нэн нуӈанман.","Отец мой взял тозовку, выстрелил в него."
"И потом тар мо̄ты̄ бурурэн, ёлки, мӯло̄.",И потом тот лось упал в воду.
"Опять до̄лды̄тчэлим: гогодёро, опять, ӈан муттыки эмэпдерэ э̄ва-вал.","Опять слышу: лают, опять, опять к нам гонят кого-то."
"Бу сурурэв эниннӯнми,","Мы поехали с моей матерью,"
"карабинмэ эмэврэв, и ичэсиним-то тадӯ ге̄ мо̄ты̄ бидерэн.","карабин привезли, и смотрю-то, там другой лось есть."
Отец карабинмэ гаран ӈан ӈинакир-то уже хуктылчол.,"Отец карабин взял опять, собаки-то уже опять убежали."
"Опять гогодёро, ёлки, опять эртыки муттыки э̄вавал асадерэ.","Опять лают, опять сюда к нам кого-то гонят."
"Потом близко асара, ёлки,","Потом близко подогнали,"
"а отец карабинмэ гаран, ёлки, в мо̄ты̄ ӈан мо̄ты̄вэ пэктырэ̄нэн.","а отец карабин взял, в лося опять, в лося выстрелил."
бӣ пастухидечэв.,я пастушил.
"Тар эсӣлэ во̄тарвэ бӣ мурӯкэ̄синим,","Вот тогда я стал объезжать огороды,"
"Би, би сурум орордулӣ.",Я пошел по оленям.
"Ичэтчэлим, ичэтчэм, ичэтчэм, ёлки,","Стал смотреть, смотрю, смотрю, ёлки,"
Нуӈан бурурэн.,Он упал.
"Албарав эя-да̄ аӈидями, ва̄дями, ни бэйӈо̄л.","Не могли ничего добыть, ни дикого оленя."
Еще то̄ли еще эпкӣт бичо̄н чипка̄рвэ еще кэрэмӣдями.,Еще нельзя было охотиться на соболя.
Еще эпкӣт бичо̄н.,Еще нельзя было.
Абдунма бакаран.,Нашел берлогу.
"«Суруво̄т, суруво̄т аӈэ, абдундула̄!",«Пойдем в берлогу!
Суруво̄т абдундула̄!»,Пойдем в берлогу!»
"Раз ачин ни уллэ, ни олло ачин.","Раз нет ни мяса, ни рыбы"
Чем... он-мэл надо деп... дептылэ надо.,"Чем... как-то, еда нужна."
Скоро надо кэрэмӣн... кэрэмӣдекол скоро.,Надо охотиться скоро.
"Продуктов мало га̄ча̄вун, продуктэлвэ.",Продуктов мало взяли.
И вот гунэн:,И вот он сказал:
"Чаӈит тар, чаӈитпа тарэ аӈива̄т, чокна̄га̄т».","Давай это самое, пойдем убьем того медведя [=разбойника]»."
Эмэрэв.,Приехали.
"То̄лӣ-вэр, то̄лӣ би элэкэ̄с, элэкэ̄с ичэм, онэ, онэ чокчэпкӣл чаӈитпэ, чаӈитпэ.","Тогда я впервые увидела, как добывают медведя."
Этырко̄м гунэпкӣ.,Мой муж говорит:
"«Тугэ, тугэ де... тугэ, тугэ окаллу.","«Так, так делайте."
"Тугэ, тугэ, та̄ла̄ мо̄лвэ но̄кэллу, та̄ла̄.","Так, так, туда палки положите, туда."
"Амӈаван аӈакэллу, чтоб нуӈан юлдо̄н, тар чаӈит юлдо̄н абдундукки.","Вход [=пасть] откройте, чтобы он вышел, чтобы медведь вышел из своей берлоги»."
И минэ гунэ:,И мне сказали:
«Тэгэкэл!,«Садись!
Тэгэкэл».,Садись».
Би тэгэм та̄ла̄ кама аӈалда̄и аӈивэ уркэвэн амӈаван аӈэ абдунин.,"Я села, чтобы это самое, открыть эту, дверь, пасть его берлоги."
«Вертолет дэгдерэн».,«Вертолет летит».
А этырко̄м гунден:,А мой муж говорит:
"Потом нуӈан минэ как аӈитпи, лап ой, наннат, hататпи как минэ аӈирэн...","Потом он меня как лапой, как меня это самое..."
"Аӈивэ, мо̄вэ тарэ би... минэ но̄да̄рэн.","Эту, палку, меня швырнул."
Дуннэла̄ бурум.,Я упала на землю.
«Ӈэнэдекэл орордула̄».,«Иди к оленям».
"«Нет, далеко, — говорит, — опять, гороло̄ экэл ӈэнэрэ тогда.","«Нет, далеко, — говорит, — опять, далеко не ходи тогда."
"Иди, ча̄скӣ окэл, дӣскӣ, дӣскӣ амӈадук, дӣскӣ окэл.","В стороне будь, подальше, подальше от входа, подальше будь»."
Но все равно...,Но все равно...
"Ну, говорит:","Ну, говорит:"
«Ча̄гит тогда дявакал ӈа̄лэлдиви.,«Подальше тогда схватись руками.
"Ну, держись теперь, чтобы он развернул.","Ну, держись теперь, чтобы он развернул."
Гунэм.,Сказала.
Нуӈан гунэн.,Он сказал.
Тымӣрэн дылдула̄н.,Попал ему в голову.
"Ӈэлэвсико̄, hэгдымама, hэгдымама бичо̄н.","Очень страшный, большой-большой был."
"Вот, вот тарит бу мэ̄рвэр аӈирав.","Вот, вот так мы самих себя это самое сделали."
"Как говорят, айяв мэ̄рвэр.","Как говорят, выручили самих себя."
"Весь палец вот такой толщиной: жир, сало.","Весь палец вот такой толщиной: жир, сало."
Тогда то̄лӣ ичэно̄синэв Севернай Таймурала̄.,"Тогда, тогда поехали посмотреть на Северную Таймуру."
Нямадивэ то̄лӣ ва̄чал.,Сотни тогда убили.
"Нулгӣсчэвун, нулгӣсчэвун, улумӣсчэвун, итыга̄чавун, дюи... дюдук, дюдӯвэр итыга̄лчавун, нулгӣсчэвун.","Аргишили [=перекочевывали], аргишили, охотились, собирались из чума, в чуме начинали собираться, аргишили"
"Ӣ, обед ӈэнэ̄чэ̄лэн, нулгистэв, нулгистэв вперед.","И, когда обед прошел, начинали аргишить, начинали аргишить вперед."
"hозяин, этыркэ̄м, этыркэ̄м, даримастан, даримастан.","Хозяин, муж, муж мой вперед пошел."
Горовэ-э нулгӣчэвун.,Долго аргишили.
Таймурава да̄грав.,Через р. Таймуру переправились.
Южной Таймурава да̄грав баргида̄ван.,"Южную Таймуру перешли, на другой берег поднялись."
"Эдӣв аминин, ама̄ — ой, ама̄  — ну, ама̄, — впереди, дюлэ̄дӯвэр нулгӣрэн.","Мужа отец, дедушка, ну да, дедушка, впереди нас аргишил."
"Бу амарка̄ндӯн эмэрэв, нулгӣрэв.","Мы после него пришли, прикочевали."
"Ӯчакки эрэ аӈим, ӯчакки пустым, ӯчакки.","Это самое, своего ездового оленя, отпустила ездового своего."
"hавалдяран, дюкчавэ дювэ hавалдяран, эрдерэн.","Это, работает, [жерди для] чума делает [строгает]."
Бу — би до̄лдӣм.,Мы — я услышала.
"А асӣ тар, муннун, мундӯ нулгӣктэдери, тарэ аӈэ... эвкӣ до̄лдӣрэ.","А женщина та, с нами, у нас аргишившая, не слышит."
Эпкӣ бичэн до̄лдӣрэ.,Не слышала.
"Ӈэ̄лэлим, аматкӣ гунилим.","Я испугалась,  деду стала говорить..."
"Тариӈил, тариӈилин уже hуктылчол орорин.",Олени его уже ускакали.
Ӯчакилин тар hуктыллэ.,Учаки эти его ускакали.
Бу гунно̄рэв.,"Мы говорили, наверное:"
Эдӯ бидено̄рэ дебдено̄рэ орор.,"""Сюда, наверное, придут, съедят, наверное, олени..."""
Тоже ӯчакки пустым би мэ̄нӈӣви.,Я тоже отпустила своего учака.
"Би гунилим аматкӣ: «Бӯнӣдерэ, ӈэ̄лэвсы», — гунилим.","Я стала говорить деду: «Воют, страшно», — стала говорить."
"Аӈилвэ, багдакэ̄лвэ ва̄дякилвэр тарэ дебдерэ.","Диких оленей, убив, едят."
Бӯнӣллэ.,Они завыли.
«Он же никэлдерэ?,«Что же они будут делать?
"Бегака̄кун бичэн то̄лӣ, в феврале месяце, февральдӯ бегадӯ.","Луна большая была тогда,  в феврале месяце, в феврале."
"Бега, бега, ӈэ̄рӣмэмэ̄ бичэн бега.","Луна, очень яркая была луна."
"Би, би ӯчакки дявамалчам тадук.",Я своего учака быстро поймала потом.
А амаӈил орорин ачир.,А оленей деда нет.
hурур... ачир о̄ра.,Не стало их.
Он-кэ бакадяра тариӈилвэр?,Как же найдут этих [оленей]?
"А hа̄лватын нямасалвэ эчэвун аӈира, тӣндерэ еще.",А некоторых важенок не успели отпустить еще.
"Инӣчэдерил бидерэ, инӣчэденэл бидерэ.",Запряженными оставались еще.
Нуӈартын акчулла дялдула̄вэр.,Они стали рваться к своим товарищам.
"А этыркэ̄н [нрзб] то̄лӣ эмэллэн, даримадяна, даримадяна эмэллэн, гунден: «Идӯ?»","А муж [нрзб] тогда стороной подходить стал, говоря: «Где?»"
Би нуӈанман гунил... орӣл....,Я ему стала [говорить]...
«Эва эчэсун еще горово̄ нулгидисун?»,"«Почему вы еще не сделали, долго так аргишите?»"
Нуӈан гунэн.,Он говорит:
«Ӣдӯ?»,«Где?»
"«Что, — он говорит.","«Что, — он говорит."
— Мучӯска̄т!,— Повернем!
Амариӈдула̄вэр мучӯска̄т!,Давайте повернем назад!
"Э̄, тар ӯчакилин hуктылчэл тук-ко̄н.",А те учаки его убежали вот так.
Амаскӣвэр долбонӣвэ нулгӣрэв.,Назад всю ночью ехали.
Нямасалвун акчудяпкӣл.,Важенки вырываются.
hуктыммэт век нулгӣрэв.,Ехали все время бегом.
Амариндула̄вэр эмэрэв.,Прикочевали на прежнюю стоянку.
"Осеннив еще, синильгэн еще эчэ бурурэ.","Осенью еще, снег еще не выпал."
"Э̄кӯн тарэ мо̄ла̄ кӯктырэн, мо̄ла̄ осогондула̄ кӯктычэ̄?","Кто это на дерево залез, на дерево, на бурелом залез?"
"Не надо, говорю, ранить,","Не надо, говорю, ранить,"
"Ила-вэл, он сверху,","Куда-то, он сверху,"
нуӈан-дэ аӈиран-дэ хэргӣскӣ о̄ран.,"он это сделал, вниз стал [спускаться]."
"Ну опять пэктырэ̄ним, туги суруко̄кӯттэн вот так.","Ну, опять выстрелила, так пошел, вот так,"
По земле волочится этот.По земле волочится этот.,по земле волочится этот [хвост].
"То̄ли-тэ эчэв са̄рэ тар дянтакӣвэ авады бичэн,","Тогда-то не знала, та росомаха какая,"
"не, эчэв ичэрэ ве̄к нуӈанман, такой он авады бичэн тар дянтакӣ.","никогда не видела ее, какая была эта росомаха."
"А туги думаю аӈидям гунденэл хомо̄ты̄, хомо̄ты̄.","А так, думаю, это самое делаю, говорят: ""Медведь, медведь""."
Ичэно̄синим тала̄.,"Пошла посмотреть туда,"
"Так и подумала, что это медведь.","Так и подумала, что это медведь."
"Тарэ росомаха, говорит.","""Это росомаха"", -говорит."
Э̄кун же са̄рэн?,"""Кто же знает,"
"Так что бы говорить,","Так что бы говорить,"
"не знала,","не знала,"
"С росомаха, первый раз увидала близко так.","С росомахой, первый раз увидала близко так."
"Так же кажется, будто Топтыгин для меня.","Так же кажется, будто топтыгин для меня."
Гэ нимңа̄ка̄нэ сундӯ улгу... улгучэ̄ним-дэ.,Другую сказку вам расскажу.
Бӣ hуюкӯкэн бичэв.,Я маленький был.
В сорок седьмом анӈанӣдӯ миндӯ дю̄р анӈанӣл бичэтын.,В сорок седьмом году два года мне было.
"Эчэ̄ дю̄р исчэрэ, анӈанӣ и гэ анӈанӣ дулин.","Еще двух не исполнилось, год и половина второго года."
Таду бичэн бодо…,Тогда была жизнь…
"Нэлки, нэлки.","Весной, весной."
Эрэ аминми hавалдячан стадодӯ.,"Это, мой отец работал в стаде."
Нуӈан умӯкин бэелдук бичэн.,Он один из мужчин был.
Вот нуӈартын орорво дявӯчадячетын то̄ли.,Вот они оленей держали тогда.
дяпкун няма̄дӣвэ.,восемь сотен.
Норма бичэн.,Норма была.
"Элэ̄лӣко̄ндив буӈкитын это иргисэлвэ, то̄лӣ илэл агӣлди тородо̄тын тарэ бодовэ кэшэ̄вэ.","Точно давали этих припасов, чтобы тогда люди с помощью леса выдерживали эту жизнь-мучение."
"Синэ то̄ли лава̄да̄счэрэ, эдӯвэл дӣдерэ — мэ̄нин тэпӯттэкӣс.","Тебя тогда поволокут, здесь запихнут — если сам забьешь."
"Ну, нӣвэл улгурдян, дэк эчэн бивун.","Ну, кто-нибудь расскажет, так будет [кто-то] не жилец."
Девтылэлвун а̄чин.,Еды у нас нет.
Кэшэ̄ эмэрэн.,Беда пришла.
Иргичил эмэрэ орордула̄.,Волки пришли к оленям.
"Да тугӣ ӈэнэдепкӣ бодон, ве̄к орорво это элбэтчэнэ-на эмэhэнилдук.","Так жизнь его идет, все время оленей от пришельцев [волков] защищает."
Да иргисэлвун манавуллэ.,А продукты наши заканчиваться стали.
Ве̄к-тэ манаврэ-тэ.,Совсем кончились.
"И всё, норма.","И всё, норма."
И вот бичэвун бӯ тунӈа бинэвун.,И вот было нас пять.
"Суруденэ, гунэн:","Уходя, сказал:"
а̄дякэллу».,спите».
А иргисэлви гэннэ̄счан горогӣт.,А за продуктами он пошел издалека.
Илан толгокӣлин.,Трое нарт у него.
Груз-па ну суруврэн.,"Ну, груз повез."
и долболтоно дэрумкичэллэв.,и вечером отдыхать стали.
А̄синэв.,Заснули.
Тыргалдяракин....,Когда утро пришло...
"Вот эрдын, коленодук дулин.","Вот такой, середина колена."
Дю̄ва ве̄спан тирэ̄рэн сиӈилгэнди.,Чум весь придавило снегом.
кэӈилэ̄н кэ̄ӈилэ̄ллэн.,колокольчик зазвенел.
Энинми hа̄рӣрэв.,Мать мы разбудили.
"«Орор эмэрэ,","«Олени пришли,"
Энё до̄лды̄ттэн:,Мама прислушалась:
"«Как это, орор, это, качунарэ?»","«Как это, олени, это, топают?»"
Туги аракӯка̄н о̄н-ка hэӈкэмэ̄ттэв.,Тогда потихоньку стали мы разговаривать.
Тарэ кэӈилэ̄н кэ̄ӈинӣтан симӯргарэн.,Тот звон колокольчика замолк.
"hукулэ̄м, hукулэ̄м.","Полежал, полежал."
Геван до̄лды̄м:,Опять слышу:
кэӈилэ̄н кэ̄ӈинэллэн.,колокольчик зазвенел.
Бӣ энӣндӯви гуним:,Я матери своей говорю:
"hитэ̄нмэ ӈекэденны, э̄ тарэ», — говорит, —","Чепуху делаешь, вот так», — говорит, —"
"Демӯдянэнэ серви, наверное, hитэ̄рвэ до̄лды̄тчэрэ».","От голода уши, наверное, чепуху слышат»."
Орор эмэрэ,"Олени пришли,"
Аямамат до̄лды̄м».,Я очень хорошо слышал».
Бӣ то̄ли аямамат до̄лды̄ӈкӣв.,Я тогда хорошо слышал.
Тогоко̄н тоговэр иларэн дю̄дӯ.,Огонь разожгла в чуме.
Уӈкакта сиӈилгэн-дэ тырэ̄чэ уӈкакта весин дю̄вэ.,"Снег с веток, снег-то придавил весь чум."
Весин дю̄ япапчэ.,Весь чум завален.
Аңарэн.,Открыла.
Нуӈан ирӯктыдерэн кэӈилэ̄нмэ.,Она волочит за собой колокольчик.
"Это, ама̄ суручэ̄н гӯлэлдула̄.","Это, отец уходил в деревню."
Амӣнми hанӈӯкталим умнэ̄ —,Отца я стал спрашивать однажды —
"би уже бэе бичэв,","я уже мужчина был,"
дыгиндяр анңанилви биркэ.,"сорок лет мне было, наверное."
сулакӣ ая̄рдулӣ кэӈилэ̄нмэ аят ирӯктэдечэн».,лиса по заводям колокольчик хорошо волокла».
"«Э, — говорит, — это ты тарэ дёнчадянни!","«Да, — говорит, — это ты то помнишь!"
Бӣ гуним:,Я говорю:
Вот таргачӣн бипкӣ.,Вот такое бывает.
Илэды идӯвэрэн дялин.,Человеческий ум такой.
hуюкӯндукпӣ дёнчадерэн мэ̄нӈӣвӣ бодовӣ.,С детства помнит свою жизнь.
"Эдук hэӈкэлэ бакадям аяла, онмэр дюло̄скӣ сундӯ улгуръе гундо̄ви, тылдо̄hун?","Откуда найду хорошие слова, чтобы как-нибудь вам впредь рассказать рассказ, чтобы вы поняли?"
Капкарэ би ичэно̄счо̄в баргида̄ла̄н-нун бираӈиви.,Капканы я пошел смотреть на ту сторону своего ручья.
Атырка̄м гулэлдула̄ суручо̄н.,Моя жена ушла в деревню.
Дюлэ ужэ ачир.,Чумов уже нет.
«Буран» яӈургаран.,«Буран» сломался.
То̄лӣ багдакэл кэтэ бичо̄тын мунӈӣ дуннэлдӯ.,Тогда было много диких оленей на наших землях.
Багдакэлдӯ нама̄рэ иргичӣл.,К диким оленям привязались волки.
"Ичэӈнэм удялатын багдакэл: илгуру, тыкэнӣл, тыма̄рнӣл.","Вижу следы диких оленей: только ступали, вчерашние, утренние."
Ну эдеӈо̄ нуӈарватын дагама̄вра.,Но к ним невозможно приблизиться.
Иргичӣл нуӈарватын тымӣсчол.,Волки на них напали.
Тымӣсчол.,Напали.
Би эчэ̄в нуӈарватын удясинэ.,Я не стал их преследовать.
Капкарви шо̄мим.,Капканы закрыл.
Амаскӣви мучусиним.,Стал возвращаться назад.
hактыра̄на̄ллан.,Стало темнеть.
Бирала̄ эвулим.,Я стал спускаться к реке.
Ӈинакирви дюр уючэдерэ и орориктэл.,"Мои две собаки привязаны, и олени только."
Мучусиним.,Стал я возвращаться.
hэрэлгэ̄н hэгдымэмэ.,Долина очень большая.
Дуннэма миндук гороло̄ко̄н оран.,Земля от меня далековата стало.
"Дуннэма, баргида̄дук эмэдечо̄в.","Земля, я с той стороны пришел."
