original,translation
а qɬawəɬ niwqin.,А муж говорил:
ənan qɬawəɬa ŋewʔenjərʔən iwnin.,Потом муж сказал жене:
ʔoraɬwaɣtə təwetɣakwʔak.,Неправильно сказала.
niwqinet.,Те сказали:
потом murɣin jaajoɬqəɬ.,«Потом он нам нужен».
eqəɬpe rəɬɣʔat.,Быстро залезли в полог.
ŋewʔen... ŋewʔene sajkokat enarʔenan... enarʔenenat qəmjarkəpɬatɣʔe.,"Жена чайники накрыла, иней с яранги выбила."
eqəɬpe ɣeɬi... ɣerʔejwetɬinet и jaɬɣətɣʔat teŋeqəɬpe.,Быстро разобрали ярангу и откочевали очень быстро.
ŋeɬwəɬ ərɣin ujŋe ɣenʔetɬin.,Стада их не стало.
teŋujŋe muri nəŋʔomore.,"«Совсем ничего у нас нет, мы бедствуем»."
neməqej murɣin jaajoɬqəɬ.,«Нам он тоже нужен».
miŋkəri turi ənŋin sajpattək.,«Как вы так чай сварили?».
tʔese ŋirese iwnin ŋərosa iwnin.,"Сколько-то раз, два раза сказала, три раза сказала:"
sajkokaqaɣeɣət qititɣi.,"«Чайничек, варись»."
remke naɬɣeenʔatewɣʔan kukeŋə.,Гости очень просили чайник.
neɬʔunet ewən waɬat əməɬʔo ɣenumekewjiwɬeet ɣeɣisijiwɬeet əmə rʔəsqəjoɬɣəsəko waɬʔət ɣaɣtoɬenat.,"И увидели, что, оказалось, все ножи были собраны и сложены в одну кучу, и даже те, что были в ножнах, тоже вытащены."
iwninet etə waj ŋotqen.,"И говорит: «Наверное, вот этот!»."
qorəŋe….,Затем...
emnəŋinqinetʔəm ətri ɬetəntaɣraw.,"Оба молодые, он [Онмальын] и Летынтаграв."
onmaɬʔənaŋe eek rəmejŋewninʔəm.,Онмальын сделал побольше огонь в жирнике.
nan jarak ənŋin qitərkən ənəkit rawʔesɣatɣʔʔm miŋkəri mətrenreqekwət miŋkəri mətrentəɣət.,"У себя дома так делай! Вдруг помрёшь, что мы с тобой будем делать, куда денем?»."
iwninet janotʔəm waj opet… məqetwetɣʔekʔəm op… waɬə janot mənʔəɬiɣʔen.,"Он им сказал: «Сначала в себя нож воткну, сначала нож в себя засуну»."
pɬewət ŋan ʔemi waɬə ŋutku qoɬ ɣatəmŋewɬen ɬɣititejepkə nenaɬwawmore ɬʔukʔəm.,"«Раз так, где-то нож тут потерялся, и очень давно мы не можем его найти."
nanjaasʔʔm ɬuut ɬəɣemajŋəpeɣɬaʔe janra irɣʔi qoɬ neme waɬʔʔm.,И тут вдруг с большим грохотом последним ударился ещё один нож.
ənqe neɣiteʔen ewən ənqen waɬəŋe ɬʔoo.,"Все посмотрели, действительно, тот нож, найденный."
ənŋin niɬʔutkuɬʔetqinʔəm iwninet rʔenutʔəm məɬʔuʔen mənəɣjiwewən.,"Таким образом играя в бубен, говорит: «Что увидеть, что объяснить?»"
peninʔəm iɬʔutkuɬʔən neniɬʔutkuŋetʔen mi… nenamŋəɬoqaat.,"Шаману дали бубен, а он спрашивает:"
ewəne qənwet tʔeratkoŋŋoʔat etənwət əmə osətkoka ɣenʔeɬɬeetʔəm.,Что аж хозяева стали дремать и отвечать перестали.
ənŋin ʔotsoj niɬʔutkuɬʔetqinʔəm.,Так он долго играл в бубен.
ənqen rəpet waɬapeɣɬarʔok ɣeɬqutəsqəsetɬinetʔəm.,"Когда нож прогремел, все подскочили."
ənqenʔəme….,"Ну, значит..."
ənqeq pɬewət janot qəɬʔuɣən.,Тогда сначала найди его».
ɬuut meŋqo rasqepəŋe waɬat aratətkoŋŋoʔat aakɣeŋetəŋ.,"Вдруг откуда-то с потолка полога ножи начали падать туда, где стояли свечи."
onmaɬʔənʔʔm iwnin o raqəsɣatərkən.,Онмальын ему говорит: «Да что ж ты делаешь-то?
ʔəmtʔʔm rʔenut torəkaɣtə məɬʔuʔen rʔenut mətejkəɣʔen rʔenut mənəɣjiwewən.,"«Что ж мне для вас увидеть, что сделать, что объяснить?»."
ənqen nemeŋ qoɬ itɣʔi ɣ… onmaɬʔərəkə ɣrem… onmaɬʔərɣəjekwe taʔeʔm.,"Однажды, как-то раз так случилось, что проезжал по землям, где жили Онмальын."
ʔaɬajpəɬʔən ɬəɣepetəwaɬə ənqe təmŋewɬen.,"Ржавый, очень старый нож, потерянный."
nanjaasʔʔm ənqen ɣərɣosatkənəkʔəm janra.,Самый последний лежал отдельно сверху этой кучи.
нрзб ɬəmənqo nəɬejwəqin.,Повсюду ходил.
ŋajəqətrək waj ənkə nəntəqinet ənqen eŋeŋəɬʔət ənqe.,"Там, на Дорожном, держали шаманов."
perenwəkʔəme ottəsanɬajŋəsəko ne… nəjojwəqen… nəjoqen rene… pəɬwəntə… rəpəɬwəntəɬɣaw waɬʔən ʔomretə ottəsanɬajŋənʔəm.,"В тюрьме затолкали в деревянный ящик, снаружи обитый железом."
ənqen ŋutkekin morəkaŋqasorməɬʔəne aŋqaj nətwaqen eŋeŋəɬʔən.,"Здесь, по эту сторону моря, жил шаман Анкай."
sit ənqene….,Ну это самое...
kʔama qoɬ nentəɣʔen ənqene ewəna qoɬqosatɬʔanma nepiriɣʔen ŋutku tanŋa.,"Однажды, когда создавался колхоз, его арестовали русские."
nepiriɣʔenʔəm.,Арестовали.
ənkə nəsamoɣjewqen… tənək… pe… nəmkəqin samokətʔəm.,На нём было много замков.
qoɬetʔəɬoŋə ənŋenqasajpə quɬijʔiɬɣəke pəkirɣʔiŋe… pəkirɣʔet maɣɬaɬʔətʔəm ikwʔet.,"В другой раз, в следующем месяце, из той стороны приехали люди на собачьих упряжках, сказали:"
ənqorʔəm ɬʔeɬʔenrə… qənwet ɬʔeɬenrʔuɣʔiʔm.,"Потом, наконец, наступила зима."
nəmŋəɬoqen ətɬon ɣereqiɣət kətwəɬqun miŋkəri ɣantosɣateɣət.,"Его спрашивают: что же ты сделал, как ты вышел?"
tətəɬ aaŋkə.,Дверь открыта.
qorəŋe nerɣərʔoqaat ewən sanɬatkənək ɣərɣoɬŋe nəwakʔotwaqen ewən samokte jʔenkəŋ ənkə ɣeɣtətkuɬeet jʔenkəŋ notas… ʔəɬətkənək nətwaqenat.,"Когда рассвело, он сидел на ящике, а замки, снятые, лежали внизу, на снегу."
ɬuut ŋoonqo omkətaɣnepə pintəqetɣʔi ʔoro… ʔoo… ʔoraərəkaɣtə nəɬeqin.,Вдруг появился из-за куста и идёт к ним.
ɬuute… niwqeet etanə ujŋe nʔeɬɣʔi.,"Говорят: наверное, не стало его."
ɬuut ŋoonqo qoɬeəjooɣərɣətaɣnepəŋ wəjiɣiŋeteŋe а janot ənqene ɣaɬɣaqaj ɬuut əjooɣərɣətaɣnepə piwreʔim.,Вдруг там из другой полыньи из-под облака пара вынырнула уточка.
qoɬ nentəɣʔen nenɬəwetɣʔenʔəm.,Однажды сжигали.
ipemiŋkəri reen nəntəqin reen nənɬəwetqin.,"Чего только с ним не делали, даже сжигали."
niwqin pɬeen… psemətʔet ətrʔes ɣʔasaŋŋojɣəm.,Говорит: «Пи́сать захотелось».
səmse ənkə waɬʔən əjooɣərɣən omwaanwəkenʔəm.,Там неподалёку была полынья амгуэмская.
wəne ŋan jara nətwaqen.,"Да, там, дома он."
piwre ənqorə riŋeʔi wiɣ… jəŋasəkoɣt… jəŋesəkutɣʔi rə… ənə… ənəɣnotaŋqasaɣtə ekwetɣʔi.,"Потом взлетела, окутанная облаком, и полетела в сторону своей земли."
ənkə jarak tʔəɬəŋŋoɣʔe səsetpeɬqete itɣʔi.,"Там, дома, своей смертью умер."
ɬʔinnək nawəkwəneɬɣetɣʔenʔəm ənkə nenpəɬqekwʔen.,На шею повесили камень и бросили в воду.
nenpəɬqewənʔəm.,Бросили в воду.
mas… а ɣərɣosajpə wəjopsanenat.,Сверху свистнул их.
а əɬwəɬute iwnin nikut….,А медведица говорит:
ewirʔənɬeɬʔət jaraɬʔət.,Домашние хоронят одежду.
anɣəntawkeɣtə.,Чтобы не спугнуть.
kətkətək əɬwəɬute niniwqin.,Весной медведица говорит:
ənqo ŋinqej kejŋəwiɬu а ŋeekkeqej nuteŋewət.,"Мальчик — Медвежье Ушко, а девочка — Тундра»."
ənqo əɬwəɬute rətriɬnin qɬawəɬ.,Потом медведица отпустила мужчину.
это ewən qəmek ɣəntekwʔetʔəm.,Чуть не убежали они (родственники).
ənkʔame qaŋan mikənti iɣət это jaatɬʔat təntəjaatənat.,"А... ну как же, чьи это сейчас потомки (наследники), я забыла."
ŋotqenat ɣəmninet nenenet.,Это мои дети.
ənŋin ɬʔeɬeŋitɣʔi а ŋerɣerɣitɣʔi ɬʔeɬeŋitɣʔi.,"Так провёл зиму, а осень... зиму."
naqam ənəɣreen ŋirʔe nenenet.,Но с ним двое детей.
а ŋeekkeqej ŋeekkeqej nut… nuteŋewətənu.,А девочку — Тундрой.
ajwasəŋkə taɣʔe.,С южной стороны подошёл.
nəqaarkəwaɬarkəɬaqen.,Гонялся за куском стада.
ənan iwninet.,Он говорит им:
ajwasəŋqasajpə это qininiɣi.,«Ты с южной стороны появись.
ənqen а то jaraɬʔata enmes ɣənin ewirʔət nenəɬɣəwetərkənet.,А то домашние уже сжигают твою одежду (как бы хоронят вместо тебя)».
teɬeŋkə ɣatwaɬen ʔorawetɬʔan.,Давным-давно жил-был человек.
neɣiteɣʔen neɬkəɬɣʔen.,"Посмотрели на него, узнали."
и это ɬɣekorɣakwʔatʔəm nanraɣtatənat.,Очень обрадовались и домой повели.
naqam kejŋəwiɬuɬʔət.,Но с медвежьими ушками.
wane ɣəm это mrakwasak.,Я не умер.
ɬuut это eɬɣaro eretɣʔi.,Вдруг в берлогу упал.
ənəɣreen ŋinqej и ŋeekkeqej.,С ним мальчика и девочку.
и mitʔeɬəɣi ŋan majoɬɣən qanarajʔo… jʔotʔra… narajʔotɬatə нрзб qəwjopsaɣənat.,"И запомни: когда к холму будешь подходить, (тихонько) свистни их."
ŋutteɬwʔʔm waɬomɣʔe.,"Ну ладно, послушался."
ŋinqej и ŋeekkeqej qənraɣtatɣənat.,Мальчика и девочку отведи домой.
mesqəmawəs… mesqəmek ɣiiŋitɣʔi.,«Почти год ты прожил.
ənqene ənqenajɣəm.,«Это я.
ŋinqej kejŋəwiɬunu qətenənnəŋɣən.,Мальчика назови Медвежьим Ушком.
jʔarat это nakapsasɣetaɣʔan ənqo ɬɣekorɣakwʔat.,"Конечно же, удивились и потом сильно обрадовались."
ənqen ɣəninet ewirʔət nenəɬɣəwetərkənet.,А то твою одежду сжигают».
i ikwʔi ənqene ŋinqej ɣəmnin.,И говорит мой сын (букв. мальчик):
ɣəm waj čukotkakenajɣəm.,«Я с Чукотки».
aaa… omwaanwəkenajɣəm.,"«А, я из Амгуэмы»."
ənqen nəwetɣawqenat.,Они говорят.
ətrʔesʔəm ənqen miŋkekinejɣət ipe.,«Только с каких именно мест?»
ooo ɣəm neməqej čukotkakenajɣəm.,"«О, я тоже с Чукотки."
нрзб nənij… nəninʔejwəqin ekək.,Разъясняет сыну:
turi miŋkek… meŋqorə… miŋkekineturi turi miŋkekineturi.,«С каких вы мест?».
а ɣəm notapənmepə təpki… neməqej nutepənməɬʔiwəm.,"«А я с Нутэпэльмена, нутэпэльменский я»."
nəwetɣawqenat ŋirerɣeri.,Они говорят вдвоём.
ɬuut ənqen nenan… mətwaɬomənat iwəɬʔət.,Вдруг мы услышали их беседу.
eee qeɬuqʔəm sisekwʔi.,"Конечно же, [сын] понял."
ənqen ɣiwe muri waj čukotkajpə mətəpkirmək.,"«Обычно говорят, мы прибыли с Чукотки."
ɣəmnan niniwiɣəm waj ənqenʔəm danilka.,"А я ей сказала, что моего зовут Данилка."
tanŋəŋenqaja nenamŋəɬoqen.,Русский мальчик спрашивает его:
ɣətʔəm miŋkeki… meŋqorə pəkirɣʔi.,«Ты откуда прибыл?
ənqenʔəm muri qeɬuqʔəm məttanŋətkoŋŋomək ipe ənqen.,"Конечно, мы начали смеяться."
əmə ənqorəŋe anadərək ənqorə mətəpkirməkʔəme.,И затем мы оттуда прибыли в Анадырь.
saškana danilka nenamŋəɬoqen.,Сашка Данилку спрашивает:
čukotkakenamore.,Мы с Чукотки».
нрзб qeɬuqʔəm ənqen ətɬəɣe nenawaɬomqen wetɣawəɬʔən ənŋinʔəm ənqen.,"Конечно же, отец слышал, как он ответил."
qətɬəɣi ɣəmnin keɬitkutumɣən qerɣətwaaɬ ənqen.,"Оказывается, там моя одноклассница Кергитваль."
qoɬʔəm ɣaɬɣe… riɬwəkəmɣətɬinʔəm.,Тот (мальчик) нахмурил брови.
ŋinqej ənkekin neməqej miŋkəri нрзб tanŋəŋenqaj.,"Местный мальчик, ну как же, русский мальчик..."
mətɬʔuwəɬɣəməkʔəm.,Мы встретились.
niwqin ɣəmnan ɣemo ənŋin waɬʔən nutenut.,И говорит: «Я не знаю такой страны».
muri waj amwaanwəkenajɣəm ɣəm.,«Мы... я из Амгуэмы».
ənin neməqej ɣəməkekkene ənpəsʔekəkʔəm ənnanə ənqene ənnen qnut ənnenɣiiŋikinet ŋinqeɣti ənqen.,"Её сын с моим старшим тоже, можно сказать, одного года."
miŋkekinejɣət.,Ты с каких мест?».
ənqene enmenʔəm saškano ɣetenənnənɬin.,"Они говорят, назвали его Сашкой."
niwqine.,Рассказывала [старушка Кымъынэкэй]:
amənan rəɣnunnin nanŋensʔan nenenəŋ.,"Только одного [ребёнка себе] оставил, самого младшего."
kupretkumuriŋe jamɣaɣətɣəkʔəm reen ŋoonqo waŋqaremak qasa kənmaŋqakʔəm.,"Мы рыбачили сеткой на озёрах, и оттуда дальше, возле Ванкарема, в лагуне."
ənkə imɬetəkʔəma sit ŋutku murɣənute waɬʔət kamaɣŋaɬwəɬʔəjŋətʔəma.,"Там, когда случилось наводнение, раньше здесь, в нашей тундре были огромные стада мамонтов."
ənqena….,Это...
ənkʔame ənqena….,Потом это...
ənkʔame ənqenataŋa… enmena ʔorawet… нрзб ʔo… ʔorawetramkəna ɣejeɣteɬɬin enmena.,"И это... говорят, человечество спаслось."
qoɬ məɣneneneɬʔənʔəme… mejŋəneneneteŋ nenatratqen aŋqə nenaɬpənrəqenʔəme.,"Один многодетный [отец] многими [мёртвыми] детьми придавливал [ярангу], морю отдавал."
ənqen neme miməɬ ɣekwetɬin ɣeteɬpəɬin aŋqaken.,"И снова вода морская ушла, кончился «ледниковый период»."
imɬetɣəntewʔʔəm amnoŋetə remkəna teŋərʔiɬeɬʔetqine ɣəntewtəɬeqinet.,"Спасаясь от наводнения, люди в тундру очень быстро уходили."
iɣət ŋan rənnət ənqaate nuteke rʔəɬqəsəku rʔəɬqəweemək reen nəɬʔuqinete.,"Сейчас их рога (бивни) находят до сих пор в земле, в глине, в песчаных речках."
ənpəŋewqej kəmʔəŋeqejʔəme ɬetəntaɣrawnen ətɬʔaqaj ɬɣiteɬenjepkine ɬəɣen ɬɣiənpəŋewqej arʔaɬa.,"Давным-давно старушка Кымъынэкэй, мать Лэтынтаграва, прямо совсем старушка..."
nekem waj ənqoŋe waŋqaremaraqajekwejpəŋe taŋʔora wəkwətkojŋət ənŋin wetɬakwətkojŋət waɬʔətʔəme.,"И оттуда вот особенно, с Ванкаремской гряды холмов, хорошо видны большие скалистые горы (сопки), вот такие вот отвесные."
ŋanqaatʔəm qənut ŋane qətɬəɣi teɬenjepe təɬeɬʔəte miŋkə imɬetɣəntewəɬʔət qeɬuqʔəme ŋanqe sit taŋəməɬʔetəŋa ŋotqen nutenut murɣin mimɬəsəku waɬʔən.,"Вон те [скалы], как там, оказывается, как люди, которые шли, убегали от наводнения, потому что раньше эта земля наша, полностью была под водой."
sit nəmkəqin koɬo kamaɣte.,Раньше очень много было мамонтов.
kʔama mimɬək neme peɬqəntettəɬeʔiʔm kʔam iuɬtiŋeɣsəkəkwaɬʔəne rʔewine ʔəmjikwin ənqene aməɬqəkwaɬʔən ənkə ɣaməɬqəpeɬatɬena… rʔew.,"И потом вода опять вернулась, и в Иультинских сопках застряли китовые кости (скелет), там в песках, на мели, остался кит."
rʔenut riŋʔetwəqeɣti ŋan nətwaqenat annuškano nəɬɣəqinet.,"Такие маленькие самолётики были, их называли «Аннушками»."
kinoɬʔət ənəkit ŋan riŋʔetwe riŋʔetweʔəme.,Когда киномеханики на самолёте это...
kɬubetə muri əməɬʔo keɬitkuɬʔəmuri ənqene nanwakʔowsqewmək.,Нас всех — мы были школьниками — собрали и рассадили в клубе.
ənqenata ɣakinoratɬenatʔəm kɬupsəko.,Этим транспортом привезли кино в клуб.
jʔeɬəɣi ənqen ŋoonko nineɣitemuri ənqen kinoʔm enmen.,Мы всё-таки смотрим там кино.
nəwərɣərɣərʔuqinʔəmŋe ʔureŋenri.,Вон туда гудит.
ənɬeko əməŋ ətri aŋqawje ənqen nəwakʔotwaqenat neməqejʔəm səpet tʔese maɬmətɬəŋsa neɣiteʔen ənqen ənnensʔen sapajewqaj.,Нынлеко и Анкавъе cидели тоже и аж раз пять посмотрели этого первого «Чапаева».
ənŋataɬ ɣəm neməqej qeɬuqʔəm.,"И я тоже, конечно."
qətɬəɣiʔəm ənqene čapajewqaj čapajew ənqen mətɬʔuʔen kino teŋwətku qeɬuqe.,"Конечно же, мы этот фильм, «Чапаев», смотрели впервые."
ənqen ənəkit čapajewqaj nən… nenʔirʔiɬemjiɣŋə… nəntoqenʔəme.,Как этот Чапаев на большой скорости скачет (выскакивает).
naqam ŋoonko ɬəɣenʔəm нрзб waj ənqen нрзб.,Однако в той стороне прямо так это самое...
ŋinqejqeɣti ŋeekkeqeɣti əməɬʔo nəwakʔotwaqenatʔəm.,Мальчишки и девчонки все сидят.
naqam ŋan waaɬ pakoɬərɣowaɬajŋən qnut.,"И сабля у него, как огромный нож для срезания ворса."
ənŋataɬ arʔaɬa čapajewqaj etʔurkəkəɬʔi.,"«Надо же, Чапаев такой неосторожный!»."
i ŋinqejqeɣti ŋeekkeqeɣti əməɬʔo niwqinet.,"И мальчишки, и девчонки все говорят:"
neməqejʔəme… qənwetʔəme… tʔese ɣiiŋitəkʔəme qənwete amnoŋetə neməqej kinoratəŋŋoʔat.,Как-то через несколько лет тоже наконец стали возить кино по бригадам.
ənɬeko niwqine… ənɬekona niniwqine aŋqawje.,Нынлеко говорит Анкавъе:
uraaa murɣinet ura murɣinet!,«Ура-а-а! Наши! Ура! Наши!».
niwiɣəm ʔetki ʔaqaɬeŋɣərɣən.,Думаю: очень страшно.
ənpənasɣətʔəm neməqej nəkinoqenat.,Старики тоже смотрели кино.
ənqene ɬewtək ɣərɣoɬa waj ənŋin nineniɬujwəqin nineniɬujwəqinʔəm.,И он над головой вот так двигает.
qoɬʔəm niwqin qun ii wenʔəm ʔetki.,"Другой отвечает: «Да, я абсолютно с тобой согласен, как так можно»."
qutti quttiʔəm ənrʔame nepliski… plisqenŋaqenat.,"А другие, другие покупали «Плиску»."
mrenti.,«Мрэнти».
ʔaasek etə niniwqin.,"Он, наверное, говорил юноше:"
mətiw ənqene tanŋəmeɬ ikwʔi səmseqej.,"Он просто, кажется, по-русски сказал «очень близко»."
нука qweɬətkorantaɣeʔəm waj ənkʔam ɣəməkaɣtə qərkurɣənet.,«Ну-ка сходи в магазин и купи мне их!».
naqam ŋane… а эт… ŋirʔeqi….,И там...
ənqen ɣaw… sisekwʔiʔəm qeɬuq ʔaasekʔəm ɣetenŋətkuɬin.,И понял парень и засмеялся.
ənqen ʔaasekʔəm weɬətkorantaʔem qətɬəɣi əmə pliski kurninetʔəm əmə mrenti купи… ən… kurninet.,"Это... парень пошёл в магазин, и оказывается, он и «Плиски» купил, и «Мрэнти» купил."
emnuŋəɬʔət nəpkirqinet ənqene.,Приезжали тундровики.
ŋan mrenti qərkurɣənet.,«Купи «Мрэнти»!».
ənpənasɣən qonərə ənqene ɣawjoɬʔatɬenʔəm.,"И как назло, старик был тем, кто посылал."
ʔeqimɬətʔəm aɬwa waɬʔət ənqen qərəmene ɬəɣʔeqimɬət waa ɬəɣene naqam nəseɬɣɬʔoqenat.,"Бутылки с алкоголем тогда другие были, не такие, как обычно, а прямо красноватые."
ənqen ənŋataɬ.,"«Ну что такое!» (, — недовольно говорит тундровик)."
naqame… itək ewənʔəm nʔeqimɬənŋeqinet weɬətkorajpəŋ.,К тому же... на деле покупали в магазине алкоголь.
niwqinet pliska neməqej.,"«Говорили же «Плиску» тоже!» (, — оправдывается парень)."
ətrʔes ənqen pliska bliska ikwʔiʔəm.,"Только «близко, близко» говорил."
qutərəkʔəm ənqen brendi.,А другие – [покупали] «Брэнди».
а… ənqen weɬətkoran pliska bliska.,«Этот магазин близко-близко!».
naqam brendi называлось.,На самом деле называлось «Бренди».
pliska bliska səmseqej weɬətkoran mrenti qərkurɣənet.,"«Рядом магазин, купи бренди!»."
qorawaɬʔət qeɬuqʔəm pəkitɬʔət otpuskəɬʔət.,Пастухи потому что приезжали в отпуск.
tenmemɬəjosɣən nətwaqen.,Была [такая] бутылка.
mrentiʔəm ənqen.,«Мрэнти» то есть.
brendi brendinu nəɬɣəqinetʔəm.,Называли его «Бренди».
rərkajpijak muri kaɬetkoma ənqen.,"В Рыркайпии это [было], когда мы ещё были школьниками."
ɣəwintetiɣət?,Дров подбросил в костёр?
iwke ɣənan qajməɣe.,"Пожалуйста, сходи ты за водой."
telʲopkaqaj telʲopkaqaj anə qəɣəwjekwi.,"Телёпка, Телёпка, ну проснись."
iwke məqametwaɣʔak!,Я хочу есть!
telʲopkaqaj telʲopkaqaj anə qəɣəwjekwi.,"Телёпка, Телёпка, ну проснись."
iwke ɣənan qəwintetɣi telʲopkaqaj.,"Пожалуйста, подкинь дров в костёр, Телёпка."
ɣəmo məjəɬqerkən.,Я буду спать.
əmməmeqej: telʲopkaqaj telʲopkaqaj anə qəɣəwjekwi.,"Мама: Телёпка, Телёпка, ну проснись."
ɣajmeɣət?,За водой сходил?
iwke ɣəmo neməqej məqametwaɣʔak!,Я тоже хочу есть!
ʔemi ɣəmnin wonnəqaj?,Где моя маленькая ложка?
etɬə.,Нет.
etɬə ənŋe?,Ах нет?
iwke ɣəto qajməɣe telʲopkaqaj.,"Пожалуйста, ты сходи за водой, Телёпка."
ɣəmo məjəɬqerkən.,Я буду спать.
telʲopkaqaj telʲopkaqaj anə qəɣəwjekwi.,"Телёпка, Телёпка, ну проснись."
telʲopka: əmməmeqej əmməmeqej anə təʔenqerkən.,"Телёпка: Мамочка, мамочка, ну не хочу."
əmməmeqej əmməmeqej anə təʔenqerkən.,"Мамочка, мамочка, ну не хочу."
ɣəto ɣuŋeɬiɣət?,Ты сходил за дровами?
etɬə.,Нет.
ənŋin qəwakʔotwaccən!,Вот так и сиди!
əmməmeqej əmməmeqej ʔemi ɣəmnin majŋəwonnə?,"Мамочка, мамочка, где моя большая ложка?"
aqametwaka!,Не евши!
iwke ɣənan quŋeɬɣi.,"Сходи, пожалуйста, ты за дровами."
iwke ɣəto quŋeɬɣi telʲopkaqaj.,"Пожалуйста, сходи за дровами, Телёпка."
telʲopkaqaj telʲopkaqaj anə qajməɣe qajməɣe.,"Телёпка, Телёпка, ну сходи за водой, сходи за водой."
etɬə.,Нет.
əmməmeqej əmməmeqej anə təʔenqerkən.,"[Зевает:] Мамочка, мамочка, ой не хочу."
ɣəmo məjəɬqerkən.,Я буду спать [зевает].
iwke ɣənan qəwintetɣi.,"Пожалуйста, ты подкинь дров."
ɬəɣenʔəm ənqen majŋənəmeŋən sanktpitirburk trankaɬrowŋən.,"Покажу ей Санкт-Петербург, большой город."
janor omwaamɣəpə taksite ɬəmewər aftobusa kamaza treɬqətɣʔe eɬɣəqanjawetə.,"Сначала из Амгуэмы я поеду на такси или на автобусе, на Камазе в Эгвекинот."
ənqorə wʔaŋɣəpə wʔaŋɣəpə ənkə trabilʲetənŋaʔa maskwaɣtə.,Затем из Анадыря я возьму билеты на Москву.
mesqeeqən ənkə mətratwaʔa dianana trankaɬrowŋənat музеи ɬəɣen pitirgof teŋimərʔenut mətreɣiteŋən.,"Там ещё чуть-чуть побудем, Диане покажу музеи, Петергоф, всё остальное, всё посмотрим."
ənqorə neme pitiretə mətreɬqətɣʔe.,Потом мы вернёмся в Питер.
ənkə treɬʔuŋənet ɣəmninet sakettomɣəqaj larisa ənkʔam ɣəmnin ŋawətɬəweqaj vʲitalʲina.,Там я увижу сестрёнку Ларису и племянницу Виталину.
mesqeeqən ənkə mətratwaɣʔa.,Там ещё чуть-чуть побудем.
ənqe masənan nəmes… nəmaspeɬatʔan.,Пусть она немного опоздает.
ənqorə vʲitalʲinanen otpusk ratwaɣʔa muri kənmaɬ mətreɬqətɣʔe aŋqaɣtə Чёрное море mətrajʔoŋən.,"Потом у Виталины отпуск начнётся, мы вместе поедем на море, на Чёрное море."
petɬe rerkəɬeɣninet keɬitkutumɣət.,Она быстро догонит своих одноклассников.
qeɬuqʔəm diananen enmes kaɬetkoɣərɣən repkirɣʔe.,"Конечно, у Дианы учёба начнётся."
iɬɣəqenjewək ənkə n… kitkit tratwaɣʔa tʔer ʔəɬoŋet tratwaɣʔa qeɬuqʔəm ɣemo ɣəmnan tite trepiriŋənet билеты wʔeŋetə.,"В Эгвекиноте я побуду чуть-чуть, несколько дней, потому что я не знаю, когда куплю билеты на Анадырь."
larisanen ʔəɬɣətumɣəqej ženʲa mətraj… mətrajʔoŋən ənkə mətranəmətwaɣʔa tʔer nidelʲat.,К Ларисиной лучшей подруге поедем и там проживем несколько недель.
ətɬon nəɬɣinəteŋkeɬitkuqin ammətɬəŋ… ammətɬəŋbaɬte qonpə ninepiriqinet.,"Она отлично учится, получает одни пятёрки."
neme maskwaɣtə maskwajpə wʔaŋetə wʔaŋɣəpə eɬɣəqanjawetə ənkʔam ŋutriɬə neme mətraraɣtəʔa.,"Потом снова полетим в Москву, из Москвы в Анадырь, из Анадыря в Эгвекинот, а потом сюда вернёмся."
ənkə tkeɬitkuɣʔek tʔerɣiiŋit.,Я там училась несколько лет.
opopə masənan пропустит… пропустит занятия… masənan nəmaspeɬatkoʔan keɬitkuk.,Пусть уж она пропустит немного учёбу.
ətrʔes.,Всё.
moskwajpə treriŋeʔe sanktpitirburgetə.,Из Москвы полечу в Санкт-Петербург.
qətɬəɣi renriɬʔiɬɣəne ɣapanrewatɬen ənqene.,"Оказывается, бюстгальтер развязался."
teɬiŋ… te… tʔaqaɬeŋŋətoʔakʔəm.,От страху я вышла [из воды].
ʔerəkut ɣəm əm… mem… memɬetəŋe… treqəɣʔek.,"Так получилось, я к воде... что я сделала?"
qə… ŋoonko ŋinqeɣti niwqinet.,Мальчики там кричат:
wanewan məsisewnet.,Я их не понимаю.
əmmemej eqəɬpe ənqen rʔenut ənqe ɣənin ʔurekwʔi.,"«Мам, быстро, это самое, у тебя кое-что вылезло»."
qətɬəɣi ənqe ɬoɬʔoɬɣən ranreɬʔeɬɣepə ɣepintəqetɬin.,"Оказывается, грудь выскочила из бюстгальтера."
sitʔəm sitʔəm ʔekwərɣa peɬɣ… peɬɣətaɣnetə mimɬesə… təmimɬəsəkutɣʔek.,Неожиданно я оказалась по горло в воде.
tanŋəŋawqaj ŋutku ikwʔi.,Тут русская женщина говорит:
naqam wane nikwʔen rʔenut neɬʔuʔen.,"Однако не говорит, что увидели."
təɣiteʔen ŋoon ənqen.,Я посмотрела туда.
mama ɬəɣen əməɬʔorəkə… neɬʔuʔen.,"«Мама, прямо всем... Все увидели...»."
qun ənpəsʔekkete… təntoʔak məte… mətʔabetsəqewmək ənpəsʔekkete niniwqin.,"Старший сын... я вышла... Мы пошли на обед, старший сын говорит:"
ənqene renriɬʔiɬɣən qətenkewŋəɣən.,«Это... поправь бюстгальтер».
ɬoɬʔoɬɣən ɣepintəqetɬin niwiɣəm ən… teŋənŋin.,"«Надо же, думаю, грудь выскочила»."
