original,translation
"Artelile ka pidab i meidod äi vet’.
",Куче детей ('артели') ведь и молока много надо.
"Bude ku hüvä lehm.
","Хорошо, если хорошая корова."
"Rahtod tehlimei.
",Творог делали.
"Miignop prostokiš, päčhe padad panod, pejän sigä paštub, ehtkeičel hiitäd.
","Скиснет простокваша, поставишь горшки в печь, день там печется, вечером снимешь, дашь воде вытечь – и вот творог [получается]."
"Veden valutad živatile, söda g’o ed sö rahtvet.
","Сыворотку выльешь скотине, есть уж не ешь сыворотку."
"A rahtod skopiskenz’ mįiktaks maidoks ka bučiižehe panod da vot sini i mįiged maid.
","А творог [мать] скапливала для кислого молока, в бочонок положишь – вот тебе и кислое молоко."
"Pühäsišt vįid edel tegelimei pölvassemnespei.
",Постное масло раньше мы делали из льняного семени.
"Pölvhan semetas kevadel, nece pölvas kazvab, kouklot kiivdamei laval ez’mäks, a potom kįivdamei päčiš, panomei havadižhe(kons vįi tehta pühäsiine).
","Лен посеют весной, этот лен вырастет, головки высушиваем сначала на полу, а потом сушим в печи, насыпаем в мешки (когда постное масло делать)."
"Ningomad ol’d’ihe žimkad, nenile žimkile keskhe havadižhe pölvassemnen; survoba edel humbros.
","Были такие жимки (приспособления для выжимания масла из льняного семени), в эти жимки [кладут] льняное семя в мешках, растолкут сначала в ступе."
"Pįižed mugomad žimkad ol’dihe, naglil’ kokiba.
","Деревянные такие жимки были, [их], гвоздями выдалбливали..."
"Havad nece pidäb pelvhiine, luja, ika i lopnib.
","Мешок этот должен быть льняной, прочный, иначе лопнет."
"Alle paaba rehtlän i alpei kapnib nece vįi.
","Под [мешок] ставят сковороду, и снизу капает это масло."
"Ezmäks päčiš pidäba, potom paaba humbroho, kįivdaba, näd, semnen i humbros survoba, klakil’ eskei mänob, g’ouhoks mugomaks.
","Сначала в печи держат, потом кладут в ступу, сушат, вишь, семя и в ступе толкут, в хлопья даже превращается, в муку такую."
"A potom havadįižhe i vot prižimiitas nenil žimkil’ i tegese vįi.
","А потом в мешки [насыпают] и вот прижимают этими жимками, и получается масло."
"Jäl’ges neniš jouhospei tegese kabu.
",После из этой муки получаются выжимки.
"Necen kabun söba, ii lükitud.
","Эти выжимки ели, не выбрасывали."
"Vot pühäsišt vįid’ butulkan sigä teged.
",Вот сделаешь бутылку постного масла.
"Edel pühän arged ii södud, necen pühäsiižen vįin i tegesket’he ninga.
","Раньше во время поста скоромного не ели, вот это постное масло и делали таким образом."
"Linasemnespei tegesket’he vįid’.
",Из конопляного семени делали масло.
"Linad semetas i kįivataba kumud, linakumud.
",Посеют коноплю и высушат коробочки с семенами.
"Linasemnespei enamb vįid’, mi pölvassemnespei i lineižes semnespei magedemb vįi.
","Из конопляного семени больше масла [получается], чем из льняного семени, и из конопляного семени масло вкуснее."
"Praznikad ol’dihe mödosk’, raštvan praznuitihe, pühäpanman.
","Праздники были медостов день, рождество праздновали, мясоед."
"Mödosk’an prazniičemei i uden voden vaste’imei.
",Медостов день отпразднуем и Новый год встречаем.
"Touvel prazniičimei mödosk’an, raštvan i pühäpanman – maid- i ’ihapühäpanman.
","Зимой праздновали медостов день, рождество и мясоед, – масленицу и мясопуст."
"Maidpühäpanmal kataišei de’enas ümb’i.
",В масленицу катались по деревне.
"Soberiše narod hebįil’.
",Соберется народ на лошадях.
"Hebod kaik izokrasit zbrujal, korg’aižed pened i ümbri küläs ajelihiiš.
","Лошади все разукрашены, со сбруей, сани маленькие, и по деревне разъезжали."
"Ištuse sigä kaks’ – koume mest i kel hüvä hebo ka kateišei.
","Садится там два-три человека, и у кого хорошая лошадь, так катаются."
"Oli mijal üks’ leskiak, eli gor’as, a kateida-se offot hänele.
","Была у нас одна вдова, жила бедно, а покататься-то ей охота."
"Hänel pįig i kaks’ tütart oli.
",У нее сын и две дочери было.
"Pįigan kucu’ihe Fed’a, a tütred Marin i Okulin.
","Сына звали Федя, а дочери – Марина и Окулина."
"Ajaba näd kateidahaze, hebo-se hiil’ huba.
","Едут, вишь, кататься, лошадь-то у них плохая."
"Korg’- kumouzihe.
",Сани опрокинулись.
"Mužik-se o’i ii töuz’mel’ne, händast kumouz’, a sizar-se hįikub: «Fed’a, varasta»!
","Мужик-то [сын] полоумный, его опрокинуло, а сестра кричит: «Федя, подожди!»"
"Korg’- muren’.
","Сани-то поломались, уздечка оборвалась."
"Pid’ab raffas püžudaze, a hebo-se, näd, hillei g’oksob.
","Надо за народом угнаться ('в народе удержаться'), а лошадь-то, вишь, тихо бежит."
"Hän kunutal palikeičeb.
",Он кнутом бьет лошадь.
"«Sizared g’agad neche, lanksite ka g’agad, a min’a kükson narodan».
","«Сестры, оставайтесь тут, упали, так оставайтесь, а я догоню народ»."
"I vot ümbri küläs ag’g’as ag’g’ha ajaba.
",И вот вокруг деревни из конца в конец ездят.
"Erasil’ hebod hüväd.
",У некоторых лошади хорошие.
"Ku bohatad ka zbrui-se keik vouktas vaskes, a ken gor’a, ka prostįi zbrujeine.
","Если богатые, так сбруя-то вся из белой меди, а кто беден, так простая сбруя."
"Kel pened korg’aižed, kel sur’ korg’.
","У кого маленькие сани, у кого большие."
"Korg’ad roudeižil’ kablhil’, krasitut kel mustal kraskal, kel pakįižel kraskal.
","Сани на железных копыльях, выкрашены у кого черной краской, у кого желтой краской."
"Osteltihe ningomad korreižed, kuna praznikale ajada.
","Покупали такие сани, чтобы ('куда') на праздники ездить."
"Ajelihiiš Ladvgärvehe, Karhilaha.
","Ездили в Ладвозеро, Каргиничи."
"Pejän mijal Kekäres kateihiiš, a tošpejän ajaba g’o Karhilaha, kaks’ pejäd prazniitihe.
","День у нас в Кекозере катаются, а на второй день едут уже в Каргиничи, два дня праздновали."
"Mödosk’an kateišei Ortk’amägel, a pühapanman kateišei Minamägel.
","В медостов день катались на Артемовой горе, а в масленицу катались на Миновой горе."
"Kellįižed ol’dihe sidotud hebile, hel’ud pandud ningomad, burįižed, sįičihe kaks’ burušt’.
","Колокольчики были привязаны лошадям, бубенцы такие приделаны, бубенчики, к уздечке два бубенчика привязано."
"Pühäpanman sobiš hüviš käveltihe.
",В мясоед носили хорошую одежду ('ходили в хорошей одежде').
"Edel pidetihe pit’kad sarafanad.
",Раньше носили длинные сарафаны.
"Kel čiikad ol’dihe, pöüsiižed čiikad.
","У кого чуйки были, носили чуйки на меху."
"Mužikil’ čiikad i akiil’ oleskeltihe ningomad čiikišpei pal’tod.
","У мужчин чуйки были, и у женщин были такие пальто из чуек."
"Ken goremba, ka sel prostįi pal’tįine.
","Кто победнее, у того простое пальтишко."
"Nene čiikad alemba pouvid’.
",Эти чуйки ниже колена.
"Edel rusttįl’ kušakįil’ sidosei mužikad.
",Раньше мужчины подвязывались красными кушаками.
"Ken bohat, ka hänol rusket kušak sidotut völe, čiik päl, g’ougiš villeižet sapkad, päs šapuk.
","Кто богат, у того красный кушак подвязан, чуйка надета, на ногах валенки, на голове шапка."
"Aleižed i peršatkad pidetihe.
",Носили варежки и перчатки.
"Pöud ol’’ihe g’ogaiččel.
",Шуба была у каждого.
"Hot’ gor’as eli, a hänel g’o pöu lambhaspei ombeltut.
","Хоть бедно жил, а у него уж шуба из овчины сшита."
"Oli koževnik, tegel’ keded.
","Был кожевник, выделывал овчины."
"Kolotiba sügüzel lambheižen, vöd koževnikale, hän tegob nahkeižen.
","Резали осенью овечку, несли кожевнику, он выделает кожу."
"Potom möst omblii sid’- oli, mijal Kekäres, hän omblesken’z’ pöüd.
","Потом портной тут же был, у нас в Кекозере, он шил шубы."
"Sapkad omblii omblesken’z’.
",Сапоги сапожник шил.
"Kolotid' vazeižen, otad nahkan, panod izveskaha.
","Заколешь теленка, сдерешь кожу, кладешь в известь."
"Gäl’ges otad, paad ’iibhä, liibäspei otad, paad dupha, teged.
","Потом берешь, кладешь в тесто ('в хлеб'), из теста берешь, кладешь в ивовое корье, выделаешь."
"Potom otad omblijan i pidäd.
",Потом нанимаешь ('берешь') сапожника и шьешь сапоги.
"Liibil’ sötad händast, sapkad omblob.
","На неделю наймешь сапожника, держишь, кормишь ('хлебами кормишь') его, сошьет сапоги."
"Edel vet’ i botinkad omblesketihe lambhanahkeižiš.
",Раньше ведь и ботинки шили из овечьей кожи.
"Nahkeižen tehtas, omblijale vöba.
","Кожу выделывают, несут сапожнику."
"Mijal oli Luka Karhilas, hän omblesken’z’ botinkad.
","У нас в Каргиничах был Лука, он шил ботинки."
"Edel voumhid-se vähän ostesket’he, dengįid’ ii’ä, nu ka omblii omblesken’z’.
","Раньше готовые-то мало покупали, денег не было ('нет'), ну вот, сапожник шил."
"Nüblil’ omblesken’z’, pit’kil’ säril’ ombloba.
","С пуговицами шил, с длинными голенищами [тоже] шьют."
"Päs peikad i šalid pidesketihe.
",На голове платки и шали носили.
"Edel ol’dihe mustad šaliižed, harvad.
","Раньше были черные шали, редкие."
"Muštan, praznikan ka ken bohat ka šal’ päs ühtel händal sidotut, kudrit tehtut, guleitas.
","Помню, в праздники, так кто богат, у того шаль на голове, одним концом завязана, кудри сделаны, гуляют."
"Konz mehele män’, ka hänel sid’ jo vol’an ričel’tihe, ištutaba stolan taga, ričiba kasan sigä, gäl’ges enambad hibusid’ ed pano kasale.
","Когда замуж вышла, тогда [ее] уже воли лишили, сажают за стол, расплетают косу, после не заплетешь больше волосы в косу."
"Ku mehele män’, hän g’o sid’ perednikata nikuna.
","Когда замуж вышла, тогда она уж без передника никуда."
"Sarafonat pidesketihe, pal’t’oškan ombleba, paran.
","Сарафаны носили, кофту сошьют, пару."
"Must sarafon, ka vouged pal’t’oškoine ili rozovii pal’t’ošk.
","[Если] черный сарафан, так белая кофта или розовая кофта."
"Touvel ka vatni žeketk.
",Зимой [надевают] ватный жилет.
"Kaglas šaliižed olesketihe, hįikad ningomad.
","На шее носили ('бывали') шали, тонкие такие."
"Ken eli gor’as ka se ii pid’and, muite kävel’.
","Кто жил бедно, так тот не носил, так ходил."
"Sirgud oleskeltihe, broškad rindhil’, bistrid kaglas.
","Серьги носили, брошки на груди, бусы на шее."
"Ken bohat ka se brusletiš kävel’, sormes renghįine.
","Кто богат, так тот в браслете ходил, на пальце колечко."
"Renghįižed g’ogaiččel olesketihe kädes hobedeižed, erased bohatad ka i kuldeižed ol’dihe.
","Колечки у каждого были на руке, [были] серебряные, кто богат, так и золотые были."
"Mecas ka käel’tihe pel’hiižiš.
",В лес ходили в холщовом [в холщовой одежде].
"G’upk pel’hiine, pal’t’ošk pel’hiine, a kons palod verdesket’he ka käel’tihe g’ougas virzud, kal’žud g’ougas pel’hiižed, balafon päl i g’upk.
","Юбка холщовая, кофта холщовая, а когда пожогу жгли, так ходили в лаптях ('на ногах лапти'), на ногах холщовые паголенки, балахон надет и юбка."
"Touvel tapmaha mäd ka möst pöu päl, balafonan päliči vedaltas i mugomiš ratihe.
","Зимой молотить пойдешь, так опять шуба надета, балахон поверх [шубы] натянут и в такой [одежде] работали."
"Soba ii redustu.
",Одежда не запачкается.
"Balafon oli korv’azne, kudotut kodiš.
","Балахон был посконный, домотканный."
"Kouhtanad pideskeltihe.
",Кафтаны носили.
"Kevädel kouhtan da balafoneine pandut, a touvel pöu da möst balafon.
","Весной кафтан да балахон надет, а зимой шуба и опять балахон."
"Kel pöud iilä ka i fufaikan paab, da fufaikale päle balafonan.
","У кого шубы нет, так и ватник наденет, да поверх ватника балахон."
"Tuloba tat da ženih svateimaha, da vuu sigä ristitatad ottas da ristimamad, tuloba viden kes’ken svathuzile.
","Приходят сватать отец и жених, еще возьмут там крестного отца и крестную мать, приходят впятером сватать."
"Čajun prigotoviba hiile, keittäs pirgad, lep’oškad, konzak rozancad tehtas.
","Приготовят им чай, испекут пироги, лепешки, иногда розанцы делают."
"Ženihod ištusei stolan taga.
",Сваты ('женихи') садятся за стол.
"Vinal ugošaidihe.
",Вином угощали.
"Munaričan paaba.
",Яичницу ставят.
"Niiččed ümbri stolas keradasei, ženihol munarič pid’ab vorta.
","Девушки соберутся вокруг стола, нужно украсть яичницу у жениха."
"Niiččed ümbri stolas siižutasei, necen munaričan ottas i uiditas pertedeshe-se, štobi nevestad ii antta mehele.
","Девушки встанут вокруг стола, возьмут эту яичницу и уйдут в сени, чтобы не отдавать невесту замуж."
"Niižne lähteb mehele, paab strokun, kudam kaks’ nedalid, kudam i kuume.
","[Если] девушка пойдет замуж, назначит срок, кто две недели, кто и три."
"Svad'baha str’apiba pejän, kaks’.
","К свадьбе стряпали день, два."
"Pridannijaks lehmän anttas.
",В приданое дают корову.
"Rädiba, ejäk pridannijad.
","Договариваются, сколько [дать] приданого."
"Kudam vištoškime räcnäd da vištoškime käzipaikad rädiba.
",Некоторые договариваются [дать] пятнадцать рубашек и пятнадцать полотенец.
"Vet sur' rod-se.
",Ведь родня-то большая.
"Mužikale käzipaik podarkaks, mamale, t’otkale ka emä, völ hijamiideke, aršin hijamad da kоkošnikeile, ende vet’ kokošnikad pidetihe.
","Мужу в подарок – полотенце, матери да тетке – рубашку, да еще с рукавами, аршин на рукава да на кокошники, раньше ведь кокошники носили."
"Ku ištusei ka siižutasei, saaba: «Mii reduloučem, em ištkeiš muite».
","Как [только] сядут, так встанут, говорят: «Мы на грязную скамью так не сядем»."
"Kudamole sitcad paaba da kaiken, potom hö ištusei.
","Кому ситца кладут, кому что, потом садятся."
"Nu, nevest sigä vasttab ženiheid’.
","Ну, невеста встречает там женихов."
"Ende mod oli, veiketihe.
",Раньше была мода – причитывали.
"Potom jo stolan taga ištusei.
",Потом уже за стол садятся.
"Venc’ale ajaba.
",Едут к венцу.
"Ku venceišei, potom ženihoho ajaba.
","Когда обвенчаются, тогда к жениху едут."
"T’ot vastake astub i pühkib.
",Тетка идет с веником и подметает.
"Nevest da ženih astuba pühkindad möt.
",Невеста да жених идут по подметенному месту.
"Potom stolan taga soberišei, sigä niiččed pajataba.
","Потом за стол собираются, там девушки песню поют."
"Ken kopiikan lükeidab, niiččile, ken pätakon, ken grivenikan, ken kut veib.
","Кто копейку бросит девушкам, кто пятак, кто гривенник, кто сколько может."
"Pajatiba ven’aks, lüdikš ii pajatagei.
","Пели по-русски, по-вепсски не пели."
"Potom dengad jagaba niiččed ičekes’ken.
",Потом девушки делят деньги между собой.
"Kaks’ pejäd guleitas i möstak ajaba kodid möto.
",Два дня гуляют и опять разъезжаются по домам.
"Konz nevestan da ženihon vastatas, ka tukįižed uuged pandas ühtes poles dorogas i teižes poles.
","Когда невесту да жениха встречают, ставят связки соломы по одну сторону дороги и по другую сторону."
"Uugen puuttas i ""huran"" hįikutadas.
",Солому жгут и «ура» кричат.
"Homencel nuuzemei, särahtesen viritamei.
","Утром встаем, лучину зажигаем."
"Ende miil’ karasinad iiländ, oli da dengįid’ iiländ.
","Раньше у нас керосина не было, был, да денег не было."
"Särahtesen viritamei, andamei sömäd lehmile, potom jömän.
","Лучину зажигаем, даем коровам корм, потом пойло."
"Rungit’ paamei jomha da jotamei.
",Мякину кладем в пойло и поим.
"Potom mämei lehmäd lüpsmähä, otamei lüpsragenden.
","Потом идем коров доить, берем подойник."
"Savihiižihe padeihe sehleičemei maidon.
",Потом в глиняные горшки процедим молоко.
"Lonkt’aigan andamei sömän, hiinäd.
","В обед даем корм, сено."
"Ehtkeičel möstak jotamei, lüpsamei, sehleičemei maidon padeihe.
","Вечером опять поим, доим, цедим молоко в горшки."
"Potom andamei sömän.
",Потом даем корм.
"Konzak lampan viritamei ili pil’kuškeižen, a konz i särahtesideke ištumei.
","Когда лампу зажигаем или коптилку, а когда и с лучинами сидим."
"Ei akeid’ soberiše, ištumei i kezerdamei.
","Много женщин соберется, сидим, прядем."
"Kezal ka homencel nuuzomei, lüpsamei.
","Летом утром встаем, доим [коров]."
"Ku paimen tordab, pästamei lehmäd, sömei da jomei i mämei mecha, kevadel ka kaskit’ karz’mäha, a kezal ka möstak nit’mäha.
","Когда пастух трубит, выпускаем коров, едим и пьем и идем в лес, весной – так подсеку обрубать, а летом – так опять же косить."
"Lehmad tuloba, lüpsamei möst, maidon sehleičemei, čajun jomei, sigä kaiken radon spravimei i magattaha paameiš.
","Коровы придут, доим опять, молоко процедим, чай попьем, всю работу справим и спать ложимся."
"Kezal kaiken pejän paimendase lehmäd.
",Летом весь день коровы пасутся.
"A parmad oma, ka hö tuloba homencel kodihe, а ehtkeičel möstak parmad lopiše i ajaba mecha öks.
","А [когда] оводы, они приходят утром домой, а вечером опять оводы исчезают ('кончаются'), и гонят [коров] в лес на ночь."
"Kevadel soberišei mužikad i pouktaba paimnen, kalhes-ik pakičop sigä.
","Весной собираются мужики и нанимают пастуха, дорого ли там просит [он]."
"Ende vet’ ii kal’hes, viž rubl’ad vai kut-se maksetihe.
","Раньше ведь недорого, пять рублей или что-то [около этого] платили."
"Paimen tulob, anttas kad’jad vouktad poutnasiižed päle, poutnasiižed paidad.
","Пастух придет, ему дают белые полотняные кальсоны, полотняные рубашки."
"A tįižed anttas štanide sijas krasitut kadjad jougha.
",А другие дают крашеные кальсоны вместо штанов.
"Muga hän i paimendab.
",Так он и пасет.
"Miil’, näd, nel’ leh’mäd oli ka nel’ pejad sötamei paimnen i möstak mäb tįižihe, tįižhe ižandaha, sigä söb, job, kuvers’ pejid’.
","У нас, видишь, четыре коровы было, так четыре дня кормим пастуха, и опять идет к другим, к другому хозяину, там ест, пьет сколько-то дней."
"Muga kezan i käelob pejid’ möta.
",Так [все] лето и ходит по дням.
"Mecha paimnele straptas kalitkeid’, kons kolobad ili munįd’ anttas.
","В лес [с собой] пастуху пекут калитки, иногда колобы или яйца дают."
"Paksus paimen tulob itkuke, kaik deren’ joksob mecha, kons kondi, konz händikaz sigä.
","Часто пастух приходит с плачем, вся деревня бежит в лес, там когда медведь, когда волк [в стаде]."
"Touvel vill hubemb, a kezal vill paremb om.
","Зимой шерсть хуже, а летом шерсть лучше."
"I kezal kahišti lambhid’ keričomei.
",И летом дважды стрижем овец.
"Potom villan kezerdamei, aleižed sidomei, čuukad.
","Потом шерсть прядем, варежки вяжем, чулки."
"Ladimei kožal’pän i kezerdamei värt’näl.
",Делаем кудель и прядем веретеном.
"Kezal ku mämei rahnmaha ili marjihe käalemei, virzud paamei jougha.
","Раньше, когда шли жать или за ягодами ходили, лапти надевали на ноги."
"Tegiba komšeižed tohespei, marjihe käelimei komšeižil’ i puzud ningomad, lähtkišpei veden-se kandištas.
","Делали кузовки из бересты, по ягоды ходили с кузовками, и корзины такие, из колодца воду носить."
"Kašlid’ vuu tehtihe, käeltihe kalaha, sen’he.
","Кошели еще делали, ходили рыбу ловить, за грибами."
"Garblon pįimimei kašlihe.
",Клюкву собирали в кошели.
"Komšeižed kädehe i kašlin’ sel’gän taga.
",Корзинки в руки и кошель за спину.
"Marjad kazdihe mijal – bol, gar’rbol, mustikeine, murikeine, babarm.
","Ягоды росли у нас – брусника, клюква, черника, морошка, малина."
"Potpilkad pidimei kerdal.
",Подпилки брали ('держали') с собой.
"Kivehe jesli litoukan tučkeidamei, sen mö potpilkal ladimei, hijaldamei.
","Если косу об камень ударим, мы ее подпилком наладим, потрем."
"Nitämei longhesei, gäl’ges lounad g’o bapkan roudeižen, malateižen, stuleižen puižen, nu i stuleižel tagomei litoukan, i möst nit’maha.
","Косим до обеда, после обеда уже [берем] железную болванку, молоток, стульчик деревянный, ну и на стульчике отбиваем косу, и опять косить."
"Gežli peiv čoma, mö heinän šingotamei.
","Если день хороший, мы раскидаем сено."
"Kelle kut l’ubo.
",Кому как нравится.
"Erased nitäba, nitäba prokosile i g’ataba sigä tįižeks pejaks.
","Некоторые косят, косят и валки и оставляют там на второй день."
"Tošpejan vįib šingotada haravol, vardel.
","На второй день можно раскидать граблями, ручкой граблей."
"Kįivab, ka ehtkįičel satho otamei.
","Высохнет, так вечером копним ('в копну берем')."
"Hörčüd čapamei šompįideke i heinän pamei šompįihe, hot’ kįiv, hot’ toroz.
","Колья нарубим с сучьями и сено ставим на колья хоть сухое, хоть сырое."
"Satod mugomad sured paamei.
",Копна такие большие ставим.
"Ižandad oma säkijad, paaba i šompįita, satįižihe muite.
","Хозяева бывают всякие, [некоторые] ставят и без кольев, просто так в копна."
"A mijou nügüližed ristitut ka, nügüd g’o šompįihe mö pämei.
","А у нас теперешние люди, так теперь уж мы на колья ставим."
"Gežli vihm, nece hein ištuse i traviše, kaik hapnob, a gežli kalus pandud, hän nikonz ii traude.
","Если дождь, это сено садится и портится, все сгниет, а если на кол поставлено, оно никогда не портится."
"Kalu šompįideke pandud.
",Кол с сучьями поставлен.
"Potom neniš kalįišpei otamei i šingotamei valįle heinän, potom kändamei, kerdad koume mö haravil’ kändamei.
","Потом с этих кольев берем сено и раскидаем в валки, потом ворошим, раза три мы ворошим граблями."
"Gäl’ges kändandad pidäb g’o sabrasija lat’t’a.
",После ворошения надо уже сделать стоговище.
"Ez’mäks tuged čapamei, ejäk sigä tugit’ pidäb.
","Сначала нарубим подпорки, сколько там нужно подпорок."
"Potom hangod čapamei, nel’ hangod.
","Потом развилины нарубим, четыре развилины."
"Tuged ladimei, potom suron karun kes’kele seižutamei.
","Подпорки поставим, потом большой стожар ('жердь') посредине поставим."
"Gežli kįiv hein, tazon kalun seižutamei, a gežli märg hein ka šorpįideke kalun seižutadas.
","Если сено сухое, гладкую жердь ставим, а если сырое сено, так с сучьями жердь ставят."
"Alle paad oksid’ žerdiš ümbri, potom g’o paad kegon.
","Вниз вокруг стожара кладешь ветки, потом уже ставишь стог."
"Rahvast sit’ panlob ümbri kegod üks’, tįine sabrasijal topsib – kahten kes’ken.
","Народу тут: один накладывает в стог ('вокруг стога'), другой на стоговище топчет – вдвоем."
"A lopud (gežli om narodad) kandišoba satod žerdiižil’ kaks’ mest’, a kaks’ sigä panloba.
","А остальные (если есть народ) носят копна на кольях, два человека носят, а два там накладывают."
"Gežli edahan hein, otamei hebon, čapamei kįivheižed, kaks’ kįivhašt’, oksikahad.
","Если сено далеко, берем лошадь, срубим сучья, два сука с ветками."
"Hebon val’l’astamei nenihe pįihe, ku regen.
","Лошадь впряжем в эти деревья, как в дровни."
"Heinän panlomei oksile i tomei sabrasijale.
",Сено кладем на ветки и подвозим к стоговищу.
"A sabrasijale kons tomei, kumeidamei necen heinän, a kons čurha i tįižhe ratkiimei oksad i muga edeleze ajamei.
","А к стоговищу привезем, опрокинем это сено, а иногда в сторону и другую выдернем ветки и так вперед проезжаем."
"Kegįižen ümbri paaba tuguded.
",Вокруг стога ставят подпорки.
"Edel mö kegįid’ em maltut panda.
",Раньше мы не умели стога ставить.
"Možet i malt’tihe, a kut-se el’nu mugomat svįčkad.
","Может, и умели, а как-то не было такой привычки."
"Edel panel’tihe muga: äjan kalįid’ seižutaba nit’ule.
",Раньше ставили так: много кольев ставят на пожне.
"Mugažno oksid’ paaba, hangįižid’ seižutaba, sigä nel’ kalud paaba sovile.
","Также ветки кладут, развилины ставят, примерно четыре кола ставят для заколин."
"Edel sovįl’, ii kegįiš.
","Раньше [сено держали] в заколинах, не в стогах."
"Ku äi g’alos heinäd, ka kümne sovad paaba, pit’kan sabran.
","Когда очень много сена, так ставят десять заколин, длинный зарод."
"Čurha žerdin seižutaba i tįižhe žerdin i vot nečhe promeškaha paaba sabreižen.
","В одну сторону стожар ставят, и в другую стожар, и вот в этот промежуток ставят зарод."
"Touvel g’ogi kül’mäb, potom hebol tulomei, necen heinän otamei, tomei sareile, regelpei sareile noustamei, a sareil’pei g’o živatįile sötamei.
","Зимой река замерзнет, потом на лошади приезжаем, это сено берем, привозим к сараю, с дровней поднимаем в сарай, а из сарая уже скотине скармливаем."
"Jünäs načnimei rahnda, otimei mö sirpin, mänimei pöldole.
","В июне мы начинаем жать, брали мы серп, шли в поле."
"Seižutimeiš artelil, mes’t’ vištošküme r’adol i kaiken polosan rahnomei.
","Становились артелью в ряд, человек пятнадцать, и всю полосу жали."
"Snapįižen rahnod sir’pil, teged väskeižen.
","Сноп сожнешь серпом, сделаешь вязку."
"Rugihen otad, hougeidad, kistiižen teget tänna, a nenil’ kahtol ag’jal g’o sidod.
","Возьмешь рожь, разделишь ('расколешь'), кисть согнешь ('сделаешь') сюда, а этими двумя концами завязываешь."
"Snapįižen pouvel kingitad i paad kogoho.
",Сноп на колене затянешь туго и поставить в суслон.
"Karziba žerdiižed hörčiideke, ii g’alos sanktad, oksideke, potom paaba kus’ snapud ümbri, verškad ülähaks, a seičmenden snapun päle vedaltas i ümbri kaiken kataba, muga i g’ataba.
","Срубят жерди с сучьями, не очень толстые, с ветками, потом ставят шесть снопов вокруг [кола] колосьями кверху, а седьмой сноп сверху натягивают и покрывают весь [сноп], так и оставляют."
"Kįivab nece bapk, potom otamei i hebįl’ kegosijale vedamei, mežale, ii pöldole.
","Сохнет эта бабка, потом берем и на лошадях возим к основанию скирды, на межу, не на поле."
"Pöld pidäb pašt’a.
",Поле надо вспахать.
"Seižutaba stožaran, kalun, oksit’ sinnä paaba.
","Ставят стожар, кол, ветки туда кладут."
"Potom necen rugihen artelil vedamei, hebil’, hebod koume – n’el’.
","Потом эту рожь артелью на лошадях возим, лошади три-четыре."
"Narodad mes’t’ kümne, üks’ mes’ sigä kegol päl, a kahten andloba snapud.
","Народу человек десять, один человек там на скирде, а двое подают снопы."
"Kegon paaba, kuni vįiba sigä püžuda snapud.
","Скирду ставят [до тех пор], пока могут там держаться снопы."
"Tomei ol’ged tukun, tegemei šoloman, necen noustaba sinnä i kaiken pän kataba.
","Принесем охапку соломы, делаем шолом, поднимаем его туда и всю верхушку покрываем."
"Edol ka vedelimei kegon gomnaha, kaks’ mes’t’ sigä toba hebįl’.
","Раньше возили скирду на гумно, два человека возят на лошадях."
"Snapud paaba regihe, toba gomnaha, roiba lavale.
","Снопы кладут в дровни, привозят на гумно, бросают на пол."
"Üks’ mez’ riheze mäb libo kahten mäba.
","Один человек идет в ригу, или вдвоем идут."
"Žerdiižed sigä oma, žerdiižile nenet snapud ištutamei, ez’mäks alahan, a potom ulähaks päd.
","Там есть жерди, на жерди сажаем эти снопы, сначала вниз, а потом наверх ставишь."
"Alombeičele žerdile ištutad, potom žerdiižen dernid' i möst edeleze ištutad, kahten ahtamei, a üks’ mez’ andlob.
","На нижнюю жердь насадишь, потом жердь протянешь и опять дальше сажаешь, вдвоем сажаем, а один человек подает."
"Ku tegese kahtele huba sigä, üks’ lähtob, üks’ sinnä gäb.
","Когда вдвоем там становится плохо, один уходит, один там остается."
"Potom lähtoba nened sigäpei, verejuded-gi souptaba, tükičeba, štobi kįiviiž.
","Потом они уходят оттуда, дверь закрывают, затыкают, чтобы сохла [рожь]."
"Potom pilimei hougon pilal, hougiimei.
","Потом пилим дрова пилой, колем."
"Lämbii lemšub ülähaks da kibinad-ne lendaba ka pidäb, štobį ii süttįiž.
","Пламя полыхает [кверху] да искры-то летят, так надо [присматривать], чтобы не загорелось."
"Ön magadamei.
",Ночь проспим.
"Koumen kes’ken tapelimei.
",Втроем молотим.
"Vereižen aveidamei pimedas, pučk särahtost kaimloal, tulomei, särahtesen viritamei.
","Дверь открываем в темноте, пучок лучины под мышкой, приходим, лучину зажигаем."
"Snapud levitamei lavale, kahtepolin’, štobį oldeiž terad.
","Снопы расстелем на полу [так], чтобы колосья с двух сторон сходились ('были')."
"Tapamei koumel čapil.
",Молотим тремя цепами.
"Vodateshe semerikat kahesa pandas, čurha i tįižhe.
","В один ряд семериков восемь расстелем, в одну сторону и другую."
"Nenid’ terid möt koumen kes’ken tapamei.
",По этим колосьям втроем молотим.
"Gežli nellän, ka koumen tapamei, a nellänz’ edeleze vertib snapud.
","Если четверо [людей], так втроем молотим, а четвертый впереди переворачивает снопы."
"Kahtepolin’ tapamei.
",С двух сторон молотим.
"Üks’ mez’ g’o sir’pil' nened snapud čapab, a mö čapįideke siižumei.
","Один человек серпом эти снопы [вязки] разрезает, а мы с цепами стоим."
